year,t,i_d,i_c,i_f
2025.0,0.0,-0.08020611147455835,0.05902225565546884,0.2737096834489451
2026.0,1.0,-0.051174543625044484,0.06705209237458935,0.2776217690689546
2027.0,2.0,-0.034362183964728905,0.07638707886787077,0.24867336739864357
2028.0,3.0,-0.02213610718048141,0.08490156071362764,0.2557046113723865
2029.0,4.0,-0.015097024316182742,0.09470070709902673,0.23353770632992418
2030.0,5.0,-0.011046268428239596,0.1026940918136441,0.2455950380078255
2031.0,6.0,-0.009026214983094121,0.11241463250828714,0.22262972412873613
2032.0,7.0,-0.00758882178612774,0.12050146824824233,0.2238161513964198
2033.0,8.0,-0.006739513410471403,0.12843984681096174,0.22339450308247624
2034.0,9.0,-0.006145083819700598,0.13139755440181733,0.23229669268408798
2035.0,10.0,-0.00571390553479854,0.13828221942829091,0.22410591502728153
2036.0,11.0,-0.00537488451868069,0.14371733156572464,0.22736213539469052
2037.0,12.0,-0.005075879107302853,0.14416964859712622,0.23146447633127315
2038.0,13.0,-0.004792377672869051,0.14600278767226724,0.23179286191716925
2039.0,14.0,-0.004568258614491465,0.14798970511638307,0.24079015969549394
2040.0,15.0,-0.004316500090249405,0.14738510440989128,0.23725234189326358
2041.0,16.0,-0.0040734793356461,0.14607855323022328,0.24268419503511374
2042.0,17.0,-0.003835294104809812,0.1442807822414503,0.24486400391651075
2043.0,18.0,-0.003625094505165209,0.145046035083401,0.2473592440914069
2044.0,19.0,-0.003445899416987273,0.14636187764200734,0.25083214451611646
2045.0,20.0,-0.0031922789875390113,0.1457782524590095,0.23584503451214583
2046.0,21.0,-0.002921557224306225,0.1426777711704673,0.2429303396380819
2047.0,22.0,-0.0026744035607763157,0.1413261647335733,0.2510769725659964
2048.0,23.0,-0.0024291967915725777,0.14254450365328347,0.24874978364040418
2049.0,24.0,-0.002172771147763407,0.13950626027010304,0.2517151795760721
2050.0,25.0,-0.001919360124229977,0.13215464399536891,0.2586530761664339
2051.0,26.0,-0.0016687589626749697,0.13828417314763097,0.2417299777208987
2052.0,27.0,-0.0014817409626623102,0.1338731104251471,0.2666024695498425
2053.0,28.0,-0.0013312534750817232,0.1363746636447634,0.2615583295970117
2054.0,29.0,-0.0011906935894767296,0.13822427988171823,0.2556989763516018
2055.0,30.0,-0.0010546873062730023,0.13227091290274992,0.26256853307183375
2056.0,31.0,-0.0009304997454574896,0.13504930263503717,0.25943553047969037
2057.0,32.0,-0.0007905965532473487,0.12974535035388632,0.26742275380437774
2058.0,33.0,-0.0006353249741337354,0.12791931523721212,0.2661962138799783
2059.0,34.0,-0.0004727489070495237,0.12535568280250392,0.26552972306779044
2060.0,35.0,-0.00033961849181752684,0.12337131170249216,0.27185991571322227
2061.0,36.0,-0.0002556942423769029,0.12520821464272217,0.2782214171572279
2062.0,37.0,-0.00016167492781878694,0.1235027409461275,0.2711764469301523
2063.0,38.0,-5.7758092412448325e-5,0.12071403129298268,0.2725236488041367
2064.0,39.0,5.246451387777519e-5,0.12193616960364856,0.2672753324579009
2065.0,40.0,0.00013878597760479157,0.12054248248857141,0.2729832548057775
2066.0,41.0,0.00019785693011589562,0.12157294666122291,0.26479905046046
2067.0,42.0,0.00020501390282063906,0.12637245764643015,0.2697369563209833
2068.0,43.0,0.00017315910952125864,0.12373651125644965,0.2734410189007888
2069.0,44.0,0.00019497280661020565,0.14316148064140344,0.24675015350645788
2070.0,45.0,0.00048271454540798876,0.1154642359082018,0.27303340808165716
2071.0,46.0,0.00034703534527503457,0.11867764104396832,0.2819618072611912
2072.0,47.0,0.0003081132845412001,0.1259343282413117,0.2705786326160042
2073.0,48.0,0.00030873980692078614,0.12205770650641125,0.2768950825023455
2074.0,49.0,3.518630066719868e-5,0.12024535034675989,0.2751388523536858
2075.0,50.0,0.0003111389392848047,0.12183537705080177,0.28486589988994654
2076.0,51.0,8.884702304674222e-5,0.13737487995359401,0.2602439590852278
2077.0,52.0,7.505231517950538e-5,0.12211013668300594,0.2739216379534817
2078.0,53.0,-0.0002887266227662826,0.12037001254838578,0.2852080116625505
2079.0,54.0,-0.0002695826577328177,0.12170090856105024,0.27520880069196446
2080.0,55.0,-0.0009037062455132232,0.11982530028141371,0.2851926799916755
2081.0,56.0,0.007539473065509266,0.1270907395949313,0.27167463089574545
2082.0,57.0,0.004407439554625284,0.12642859837881873,0.27588137862627804
