year,t,i_d,i_c,i_f
2025.0,0.0,-0.004404293744039795,0.03683340590317552,0.26282303845099697
2026.0,1.0,-0.0028999915642707193,0.04001373654403395,0.25592971698957584
2027.0,2.0,-0.001673039194470535,0.043226360450368914,0.24976748322223344
2028.0,3.0,-0.0006104843498147314,0.046442003205524066,0.24315576535608704
2029.0,4.0,0.00032424929095034653,0.049447497480659956,0.23859214157423753
2030.0,5.0,0.0011653993526268534,0.052405660711143054,0.23444691476500937
2031.0,6.0,0.0019418717396125415,0.055250722650024876,0.22961925871426148
2032.0,7.0,0.002641060749172032,0.0578713316304546,0.22632307427788395
2033.0,8.0,0.003268249861850146,0.0600146906709276,0.22422356594037557
2034.0,9.0,0.003834003631491514,0.0621639443594133,0.2219018818048252
2035.0,10.0,0.004327116704628501,0.06378015812243668,0.22058220128443018
2036.0,11.0,0.004753842816143259,0.06542385170290706,0.21903322293471447
2037.0,12.0,0.005092644715514414,0.06732564457550343,0.2179477101521976
2038.0,13.0,0.00542478998511121,0.06695705928110324,0.21732548721983244
2039.0,14.0,0.005580061393104809,0.06970241375107578,0.21712900655727999
2040.0,15.0,0.00579644584852497,0.06901592174690618,0.2165237883674279
2041.0,16.0,0.005908091148574988,0.06947530925805243,0.21650961159903956
2042.0,17.0,0.005929046969711383,0.07094766873026905,0.21643085561206074
2043.0,18.0,0.005844038475200956,0.0734255277990252,0.217078173955318
2044.0,19.0,0.005933491626367981,0.07164986163966766,0.21561067926538266
2045.0,20.0,0.005819194851302197,0.07379227555188836,0.2160450520254821
2046.0,21.0,0.005778427877077776,0.0732693293660185,0.21616974940259726
2047.0,22.0,0.005759277719459796,0.07242475294898834,0.2154306689546476
2048.0,23.0,0.005700487780383235,0.07219240675123237,0.21492554124165045
2049.0,24.0,0.005553557965335973,0.07307640083345973,0.2156092651211336
2050.0,25.0,0.0054809431044801045,0.07235176490972531,0.2145431529480719
2051.0,26.0,0.005171212006060003,0.07640232055299111,0.2166040466446348
2052.0,27.0,0.005030505488621466,0.07587757349038787,0.21624117008661473
2053.0,28.0,0.004904236189330296,0.07553201262671737,0.21497879208936357
2054.0,29.0,0.004593796159484928,0.07952070027201547,0.21695407192760913
2055.0,30.0,0.004468967327880699,0.0782881998456008,0.21588344305665266
2056.0,31.0,0.004231661632935301,0.08056420534449855,0.2168542638144722
2057.0,32.0,0.004137682864070686,0.07855223737704824,0.21543957858135715
2058.0,33.0,0.003991763200896597,0.07861825466151258,0.21505874023455798
2059.0,34.0,0.0038194747212657995,0.07951476511200394,0.21509923846022602
2060.0,35.0,0.0036257768765662448,0.0811931911869012,0.21532032770841394
2061.0,36.0,0.003528587773125713,0.07911956956055767,0.21421098095190236
2062.0,37.0,0.0033288526389091615,0.08139408436121871,0.21490422451159774
2063.0,38.0,0.0031879350811065423,0.08071643020406666,0.21480149170135235
2064.0,39.0,0.003005117977157083,0.08245343328108619,0.21491921643559594
2065.0,40.0,0.0028541703714369594,0.08233496628665293,0.21476999125695562
2066.0,41.0,0.002615965172204006,0.08603502342407941,0.2168851854872798
2067.0,42.0,0.002500351944182884,0.08506919692049432,0.21484605532969633
2068.0,43.0,0.0023777442373779985,0.08403996647892309,0.21502879571410832
2069.0,44.0,0.002245030843118989,0.08455997749982744,0.21470919092374816
2070.0,45.0,0.002124282880402448,0.08465094151812978,0.2142037990457359
2071.0,46.0,0.001983039540870121,0.08570018759400594,0.21470792958959298
2072.0,47.0,0.0018478305678786824,0.08638883707926744,0.2151484227033801
2073.0,48.0,0.0017086207245163797,0.08778054885653244,0.21540951641482875
2074.0,49.0,0.0016286189250057626,0.08614153429018453,0.21388464963786227
2075.0,50.0,0.0015076894871053621,0.08770416166598194,0.21424460905118228
2076.0,51.0,0.0014083117747019157,0.08807371837593389,0.21392223164306304
2077.0,52.0,0.0013018575230837207,0.08841662436357621,0.21540993153234328
2078.0,53.0,0.0012056499707779934,0.08925792615022682,0.21535895355868698
2079.0,54.0,0.0011344879477649642,0.08917842074227814,0.21424311934024157
2080.0,55.0,0.0010706927688016539,0.08863067729908147,0.21425912297190228
2081.0,56.0,0.0010197599688029438,0.08812259629155954,0.21363782662358125
2082.0,57.0,0.0009371591362323477,0.08968947918859495,0.21556684995831937
2083.0,58.0,0.0008863831064357,0.09026540925803563,0.21397478511092627
2084.0,59.0,0.0008523345846954973,0.08862275350282976,0.2143431851178465
2085.0,60.0,0.0007979999883449583,0.08991740399596582,0.21527458315799755
2086.0,61.0,0.0007581221969718307,0.09070749887527826,0.21448292451068324
2087.0,62.0,0.0007321209092779269,0.09001730628089906,0.2146925786354775
2088.0,63.0,0.0007049704067047552,0.08922148065736271,0.21626956318892593
2089.0,64.0,0.0006736775695778051,0.09060995328635377,0.2154160311865068
2090.0,65.0,0.0006745802839970147,0.09005946938994017,0.21235374544240967
2091.0,66.0,0.0006459836591342286,0.0906110399745433,0.21587968720727782
2092.0,67.0,0.0006479841819133689,0.08996293701001279,0.21464416302032324
2093.0,68.0,0.0006346095969943813,0.09089812141766901,0.21504794048882767
2094.0,69.0,0.0006360652120421899,0.09019502943187221,0.21617716043669763
2095.0,70.0,0.0006254032526156533,0.09003121547323334,0.2167191769039602
2096.0,71.0,0.0006157337544964931,0.09067627893708159,0.21685937592958804
2097.0,72.0,0.000623490730605592,0.09049541036127916,0.21394644562753437
2098.0,73.0,0.0006295644910823988,0.09034810615953617,0.21420289078961682
2099.0,74.0,0.0006352668006677152,0.09079804502065282,0.21650801430177274
2100.0,75.0,0.0006515730245246578,0.09003405985183952,0.21745329210808376
2101.0,76.0,0.0006465664255609261,0.09105399177694695,0.2158978000686452
2102.0,77.0,0.0006566138280612308,0.09056063310401792,0.21747843727076052
2103.0,78.0,0.0006774452875193678,0.09108649876773942,0.21617486842970693
2104.0,79.0,0.0006921625281011844,0.09044419534042705,0.21636999334082566
2105.0,80.0,0.0007021965695177592,0.09184934817354234,0.21469649652366693
2106.0,81.0,0.0007222623676106894,0.08882405044003999,0.22024237601034866
2107.0,82.0,0.0007195759317837842,0.08952443331337906,0.21879672075689408
2108.0,83.0,0.0007078559663819314,0.08949867288424067,0.2203163190200739
2109.0,84.0,0.0006821207573580011,0.08946487018569026,0.2198789759572675
2110.0,85.0,0.0006510967667199228,0.09144518435772567,0.21728223731924287
2111.0,86.0,0.0006279849611464745,0.08981677978260226,0.21959270850120302
2112.0,87.0,0.0005991269125941488,0.08905347488315267,0.22091416126600177
2113.0,88.0,0.0005757496843002484,0.09114589725860037,0.2180983308128385
2114.0,89.0,0.0005552288185480889,0.08970466206290466,0.22145613380902313
2115.0,90.0,0.0005444583167831652,0.09052973181585201,0.2192994453473914
2116.0,91.0,0.0005399296226988294,0.0894874906828312,0.22200042555953878
2117.0,92.0,0.0005275584059530109,0.0884488015667031,0.22407949338436578
2118.0,93.0,0.0005357376239462984,0.09064976607443576,0.22109110318936337
2119.0,94.0,0.0004511028196664752,0.09213964289262154,0.21915862379333798
2120.0,95.0,0.0004342749447740197,0.09082040838598684,0.22302937511158796
2121.0,96.0,0.00027828422817039074,0.09311078890079276,0.2197895272129938
2122.0,97.0,6.029426827577717e-5,0.09166209638733422,0.22377885432760472
2123.0,98.0,-0.00023593401443554833,0.09469229658171244,0.2200974192298251
2124.0,99.0,-0.0003582260632453745,0.09641612884247718,0.21868824586960495
2125.0,100.0,-0.0006698541089012415,0.09465458962808536,0.1910174398337412
2126.0,101.0,-0.001071078362075244,0.09605054203798283,0.21477008394976774
2127.0,102.0,0.008439043495675426,0.09763050351226195,0.2110352084256643
2128.0,103.0,0.003982073349066368,0.09114128524698038,0.21864482678895053
2129.0,104.0,0.0017827506233639438,0.09628722423020329,0.21335320572843683
2130.0,105.0,0.0008566741625551941,0.09541296886402134,0.21526318576151754
2131.0,106.0,-0.0006320836921466971,0.09288896722682669,0.21819151345229965
2132.0,107.0,0.007672861442391959,0.09451705546333111,0.2140652967869614
2133.0,108.0,0.004388478611701637,0.09486449484357028,0.21474935754234367
2134.0,109.0,0.0037948452517477947,0.09186765033136912,0.21924263203729047
2135.0,110.0,0.0040616989258789584,0.09217698737519664,0.2178648292621735
2136.0,111.0,0.004064738456086128,0.09402907725428801,0.21496428189099126
2137.0,112.0,0.004267005048523839,0.09217300770239413,0.21744493175629953
2138.0,113.0,0.004283308178952768,0.08864027957528572,0.22303652100328164
2139.0,114.0,0.0040436544620413494,0.09469980798408842,0.213864961676588
2140.0,115.0,0.00606581154297327,0.09373548127110601,0.21526208524298315
2141.0,116.0,0.009466104577564118,0.09295403491087423,0.21651430236657812
2142.0,117.0,0.009569353237189012,0.09080728890836896,0.21909643705395743
2143.0,118.0,0.0095757119242123,0.09307916334563611,0.21711798236428073
2144.0,119.0,0.00957425205312385,0.09228218297565728,0.21718825285034057
2145.0,120.0,0.009576654958808278,0.09268194170741746,0.21773045423935886
2146.0,121.0,0.00957639821851181,0.09343523048213018,0.2160696889880594
2147.0,122.0,0.0095732341728496,0.08941100844954232,0.22402203131514276
2148.0,123.0,0.00957768350256827,0.08996589576782184,0.22221871114570982
2149.0,124.0,0.009574838458156256,0.09414960127575774,0.21610639838049864
2150.0,125.0,0.00957727344937485,0.09219872501736953,0.21931627340215856
2151.0,126.0,0.009578790447489337,0.09303242624560065,0.2169436125539174
2152.0,127.0,0.009571901918034873,0.09365776098042773,0.21703677322742193
2153.0,128.0,0.009578035042021175,0.09278428671189248,0.22007661362030342
2154.0,129.0,0.009578026322976106,0.09341680426958851,0.21911373353797822
2155.0,130.0,0.009578314035974278,0.0929068935196886,0.22107547935144206
2156.0,131.0,0.009578200170004332,0.09147307694757864,0.22447510443989138
2157.0,132.0,0.009578253660696432,0.09141461095451739,0.22359109713244193
2158.0,133.0,0.009576188353306555,0.09443442134215745,0.21902518915951177
2159.0,134.0,0.009573895029330936,0.09152988084449601,0.223929191417971
2160.0,135.0,0.009575684820265995,0.09309866961172279,0.22242943324537656
2161.0,136.0,0.00957703778522733,0.09426866446435388,0.218857726721607
2162.0,137.0,0.009578981930077012,0.09326712192603162,0.22099089431360075
2163.0,138.0,0.00957777401602427,0.0923639132325369,0.22388154318749667
2164.0,139.0,0.009578823229856658,0.08899352660112722,0.23152547155881997
2165.0,140.0,0.009577703682895136,0.09017114947078556,0.22732805425511618
2166.0,141.0,0.009579468174207437,0.10755540641730445,0.20255800887100361
2167.0,142.0,0.009579186901627283,0.09218388743560643,0.2288443237771266
2168.0,143.0,0.009579588759988145,0.09465517191435593,0.2274946863695689
2169.0,144.0,0.009579521885590182,0.09710770520422281,0.2242608478002757
2170.0,145.0,0.009579780577242923,0.09163196459426307,0.234028509657058
2171.0,146.0,0.009579879669135653,0.09139054481011107,0.23526164740338165
2172.0,147.0,0.00958000916705943,0.096809329803464,0.22608712780103174
2173.0,148.0,0.00958006282702339,0.0981472049144531,0.23012998825108893
2174.0,149.0,0.009580084623864605,0.09615697921941085,0.23311553852002206
2175.0,150.0,0.009580315837592918,0.09598972440114263,0.23510331258336492
2176.0,151.0,0.009580383931469658,0.09738910594468582,0.23094751899515
2177.0,152.0,0.009580524391498391,0.10023590185418031,0.23450456342547482
2178.0,153.0,0.0095805655401004,0.09799076271581907,0.23860520567907306
2179.0,154.0,0.009580600683053124,0.09696325208444312,0.24214357389836125
2180.0,155.0,0.009580726207315957,0.10114208694633191,0.24002060209406106
2181.0,156.0,0.009582240184249118,0.09973231193025928,0.23863226482737493
2182.0,157.0,0.009581736121961592,0.10130485322799018,0.24509794537435506
2183.0,158.0,0.009580856779617076,0.10322987694926522,0.2405702375221166
2184.0,159.0,0.009580814326159318,0.1017072306823391,0.24573634000604275
2185.0,160.0,0.009581210290801957,0.1006714016932255,0.2537250033435934
2186.0,161.0,0.009581132230794282,0.10721734207772844,0.24434033024448742
2187.0,162.0,0.009581483997359844,0.10559916811976754,0.25136415604169765
2188.0,163.0,0.009581334725301687,0.10466983800691566,0.2606637819399559
2189.0,164.0,0.009581482517020476,0.11269023317526744,0.24948271845388736
2190.0,165.0,0.009581409142896312,0.10923260637732962,0.26261655505409004
2191.0,166.0,0.009581400770683693,0.11101131165538179,0.26431287222056815
2192.0,167.0,0.00958186284690068,0.11078067273824771,0.27548551856472114
2193.0,168.0,0.009581391051100816,0.11550754456994008,0.2732644002554813
2194.0,169.0,0.009582161787405962,0.11454104383878938,0.27472746226544525
2195.0,170.0,0.009581515418886436,0.1176507966043341,0.2804066772186489
2196.0,171.0,0.009581605532596875,0.12575842287530276,0.2755923124514393
2197.0,172.0,0.009582382343896804,0.11968843548403715,0.29514840853453966
2198.0,173.0,0.009582310557688897,0.1201398936919085,0.30584737633872605
2199.0,174.0,0.009582261424997577,0.1297180389588527,0.3007146338981734
2200.0,175.0,0.009582565916119713,0.12766219087222772,0.3117289655130186
2201.0,176.0,0.009581253183066253,0.1335602532839264,0.31298903314619725
2202.0,177.0,0.009581926601583274,0.13228867160737456,0.32660328306315595
2203.0,178.0,0.009582237215422078,0.13514395744050167,0.33421363604260296
2204.0,179.0,0.009582310929583587,0.14312171313932678,0.33874689036666306
2205.0,180.0,0.00958286021923855,0.14520712739027908,0.3363281551467453
2206.0,181.0,0.009582961514607144,0.14707619111833414,0.3515219556419727
2207.0,182.0,0.009582339736383626,0.158154341785975,0.3502452254037672
2208.0,183.0,0.009582461599513108,0.15548744974557452,0.3694051967864552
2209.0,184.0,0.009582715466642272,0.16089305562084674,0.3790993249230797
2210.0,185.0,0.00958583315264786,0.16765098716087382,0.38925697646832125
2211.0,186.0,0.00958240668222834,0.16604382300106746,0.4065734579387614
2212.0,187.0,0.009582911306242977,0.17388150840461541,0.41487506290373805
2213.0,188.0,0.00958209522124703,0.17684813788214995,0.42423423982778746
2214.0,189.0,0.00958223421206983,0.18676554358367944,0.43034993925569537
2215.0,190.0,0.009581992902382742,0.19096615982984033,0.4487961153333827
2216.0,191.0,0.009582678490075096,0.19289254931088223,0.4697145726324056
2217.0,192.0,0.009583227423857421,0.19489593995699409,0.48816347085910033
2218.0,193.0,0.009582430218775723,0.20967894465359263,0.4842572827272983
2219.0,194.0,0.009582510637012272,0.21474909870333156,0.5064815118068966
2220.0,195.0,0.009583145501467405,0.2241146426700485,0.5191622047067944
2221.0,196.0,0.00958314477573258,0.23372825673001252,0.5328016744112449
2222.0,197.0,0.009582879490403666,0.23992099271226344,0.5512926424995334
