year,t,i_d,i_c,i_f
2025.0,0.0,-0.04978738951964925,0.03817040726092437,0.2559840029154094
2026.0,1.0,-0.0068745231615297735,0.04109086756073833,0.24751968198420343
2027.0,2.0,0.004984574399561989,0.043820212957591254,0.23944779836247249
2028.0,3.0,-0.0036487623163594437,0.04666740339879384,0.2392132147065404
2029.0,4.0,0.0073656923432326915,0.048923521839890655,0.23169895524036344
2030.0,5.0,-0.002619844905365219,0.0513931996876307,0.2342093568783596
2031.0,6.0,0.009124973026470699,0.052873395769109426,0.22730159776194828
2032.0,7.0,0.009605657887687882,0.0544060407760577,0.22673468137507555
2033.0,8.0,0.009968145230266838,0.05575523957692352,0.22645493872126513
2034.0,9.0,0.010215791111505711,0.056948657202402365,0.2263661653510379
2035.0,10.0,0.010368852618528945,0.05803298003073734,0.2264396159703149
2036.0,11.0,0.010424343135862093,0.05901450360955145,0.2266311148649478
2037.0,12.0,0.0104376909720751,0.05993912277836286,0.22686235656820766
2038.0,13.0,0.010372688030793298,0.06085179450193429,0.2271315234703301
2039.0,14.0,0.010284236596514387,0.061686515741472846,0.22739977074423925
2040.0,15.0,0.010157721876150811,0.06258524777328763,0.22763868126394413
2041.0,16.0,0.010012467230277234,0.06350457200003216,0.2278140724592445
2042.0,17.0,0.009847577909199143,0.06446013919093325,0.22800985838088525
2043.0,18.0,0.009674069664583755,0.06548089582689164,0.22807163881318915
2044.0,19.0,0.009512474833250162,0.06659861978176206,0.2280783421674069
2045.0,20.0,0.009362935049083101,0.06780601969178736,0.22799110542477447
2046.0,21.0,0.009251007229350067,0.06918868295599276,0.22765388541970114
2047.0,22.0,0.009183486180491678,0.07073026387260192,0.22719482990828177
2048.0,23.0,0.009195249841478003,0.0725140811691474,0.22641805106848978
2049.0,24.0,-0.002704951301469426,0.07554034555536454,0.23007250792677572
2050.0,25.0,0.008431629370971212,0.07545125910588764,0.2247219506512509
2051.0,26.0,0.007849488338830351,0.07679960441593807,0.2251746532854449
2052.0,27.0,0.007387714345633028,0.07852340764557933,0.22512095308455285
2053.0,28.0,-0.0014477951683040309,0.0812751205340703,0.22792698856175334
2054.0,29.0,0.006163568461984975,0.08147320081673254,0.22443882292790027
2055.0,30.0,0.005523402824437133,0.08287034943115097,0.22497697090043117
2056.0,31.0,0.0048662968153634694,0.08452650929016978,0.22511644030415628
2057.0,32.0,0.00432112789780238,0.08643282798619209,0.22492600383800906
2058.0,33.0,0.0037629011732687595,0.08859436436104948,0.22441645700533558
2059.0,34.0,0.0032319572151195248,0.09104677921852954,0.22356218556088803
2060.0,35.0,0.0027138086405922583,0.09383562262202622,0.22235624259730868
2061.0,36.0,-0.00018024674240295127,0.0972265027971032,0.2214300751060452
2062.0,37.0,-8.64651223410693e-6,0.10033476240657928,0.21919812318253698
2063.0,38.0,-0.0001484372381295575,0.10365177694037121,0.2168573162883111
2064.0,39.0,-0.0005543491014304199,0.10742398883592398,0.21412281029621102
2065.0,40.0,-0.0011611966671747985,0.11186356867022457,0.2106681823596477
2066.0,41.0,-0.0020196816272330903,0.11707921538723827,0.20631264763495913
2067.0,42.0,-0.0032104315716413204,0.12330838208043798,0.20068753561940825
2068.0,43.0,-0.004787335448543141,0.1307262455864642,0.1935182864260755
2069.0,44.0,-0.007291673512916155,0.1393866691315402,0.18441092251305835
2070.0,45.0,-0.24270821535614057,0.1492874760870139,0.17299474218090755
2071.0,46.0,-0.11574434422280339,0.12956127986174526,0.1708305062545477
2072.0,47.0,-0.29012950131945076,0.11942984763761373,0.18371331466990137
2073.0,48.0,-0.21755424808877827,0.11206279590187711,0.19253639764668892
2074.0,49.0,-0.11520216254475443,0.10670082898908814,0.1987885617028431
2075.0,50.0,-0.2715537793896632,0.10284941367356674,0.203146602616761
2076.0,51.0,-0.29012950131945076,0.10027657519769605,0.206357720888183
2077.0,52.0,-0.030326890984973993,0.09823554916231593,0.20852389561158258
