year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC
2025,0,-0.046599212,0.043991092,0.234040827,54.06771166,1.38,0.790835,0.15254,4.35,0,41.4177983,110.98,89.01140915,312.38283
2026,1,-0.022923041,0.04845974,0.22988239,41.14104452,1.412440627,0.694492266,0.174249711,4.297833848,0.046599213,38.99705176,112.4282732,90.69717277,319.7161691
2027,2,-0.012929125,0.05284194,0.223698982,37.31238253,1.437125254,0.627885548,0.198272242,4.245086548,0.066592199,37.73727624,114.0655806,92.16457319,327.1704362
2028,3,-0.008465821,0.057128239,0.218099319,34.57188292,1.459512683,0.575461032,0.224559845,4.189981549,0.075353369,36.99743063,115.8016266,93.54396546,334.7628816
2029,4,-0.006115799,0.061275514,0.213062961,32.27636595,1.480255813,0.530795199,0.253029791,4.133178398,0.079157737,36.52110366,117.6069257,94.91226923,342.499462
2030,5,-0.00459546,0.065164553,0.209069981,30.24732013,1.499621633,0.491287484,0.283550812,4.075281165,0.080451071,36.21104053,119.4724707,96.25422406,350.3856517
2031,6,-0.003490484,0.068778322,0.205779117,28.415856,1.517770025,0.455784758,0.315904153,4.017290257,0.080229947,36.02859125,121.4013492,97.60627709,358.426776
2032,7,-0.00263433,0.072079127,0.203032134,26.74572383,1.534819538,0.423620535,0.349837759,3.959841119,0.079008898,35.95410747,123.3974583,98.98949855,366.6278534
2033,8,-0.001947943,0.075011463,0.201014516,25.213605,1.550866973,0.39433649,0.385061206,3.903389221,0.077100532,35.97479999,125.4642851,100.3952591,374.9936568
2034,9,-0.001385977,0.077578516,0.19946819,23.80240942,1.565995136,0.367581883,0.421239786,3.848528824,0.074716211,36.08029379,127.606038,101.8494585,383.5287697
2035,10,-0.00092223,0.079750887,0.198622665,22.49870126,1.580276581,0.343073152,0.458034907,3.795586169,0.072006756,36.26206325,129.8252468,103.3351595,392.2375807
2036,11,-0.000532856,0.081494361,0.1977875,21.29127082,1.593775802,0.320570626,0.495089549,3.745072559,0.069085462,36.51193101,132.1254105,104.9235788,401.1243627
2037,12,-0.00021082,0.082951689,0.197664771,20.1708996,1.606550564,0.299873486,0.532028374,3.696849297,0.066034466,36.8220135,134.505482,106.5328545,410.1932471
2038,13,5.83E-05,0.084353662,0.197365216,19.12916533,1.618653104,0.280800553,0.56858199,3.65141342,0.062921699,37.18675911,136.9695461,108.2302498,419.4484134
2039,14,0.000276187,0.085560532,0.197816877,18.15892767,1.630130603,0.263196539,0.604657308,3.6084368,0.059796783,37.60527183,139.517613,109.9356606,428.8938996
2040,15,0.000474754,0.085672065,0.197662921,17.25339942,1.64102596,0.24691751,0.640077865,3.568438551,0.056702982,38.07361805,142.1547343,111.8872578,438.5337709
2041,16,0.000618508,0.086863631,0.198432447,16.40828809,1.651378,0.23186065,0.674022142,3.530697745,0.053655279,38.57285971,144.8706172,113.6875326,448.3719253
2042,17,0.000749289,0.087045664,0.198687698,15.61693403,1.661222972,0.217894188,0.707295355,3.495896993,0.050693176,39.12245679,147.681018,115.7255896,458.4127267
2043,18,0.000849978,0.087479535,0.199253661,14.8759136,1.670593133,0.204936438,0.739139577,3.463400447,0.047821914,39.70403032,150.5763223,117.7674437,468.6599565
2044,19,0.000937131,0.087421693,0.199650702,14.18069387,1.679518681,0.192893831,0.769773749,3.433342913,0.045058443,40.32247914,153.5622978,119.9549415,479.1178483
2045,20,0.001006125,0.087432905,0.199970077,13.52812549,1.688027097,0.181695208,0.798848364,3.405426552,0.042406265,40.96856829,156.6354463,122.2123492,489.7904726
2046,21,0.001056245,0.08745601,0.200450597,12.91483987,1.696143973,0.171269322,0.82646429,3.379452855,0.039871737,41.64399624,159.7973032,124.5189192,500.6821239
2047,22,0.001082492,0.087887118,0.201013126,12.33754,1.703892877,0.161548738,0.852681148,3.355446238,0.037461095,42.34888071,163.0507908,126.8367529,511.7971236
