year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2025,0,-0.037944172,0.023008363,0.200014574,53.20188482,1.38,0.790835,0.15254,4.35,0,40.63263165,110.98,93.83307374,79.05476862,
2026,1,0.007820274,0.023432775,0.195849694,41.24800399,1.411921131,0.703147304,0.162483132,4.267202832,0.037944184,38.17836933,112.329363,95.14526296,81.33690498,
2027,2,0.009205717,0.023785845,0.193703748,39.62759904,1.436669933,0.666655782,0.172316321,4.185656651,0.035557495,37.85565618,114.0720636,96.53274492,83.67187826,
2028,3,0.010704346,0.023974861,0.191852602,38.18104496,1.460446493,0.633804431,0.181980168,4.107118376,0.033320928,37.60316915,115.8644187,97.94110921,86.06459909,
2029,4,0.012293935,0.024036964,0.190109718,36.90847829,1.48335512,0.604463863,0.191349924,4.031671372,0.031225042,37.42896538,117.7122565,99.38883813,88.5175692,
2030,5,0.013895692,0.02393569,0.188753988,35.80889185,1.505500207,0.578488633,0.200331507,3.959224514,0.029260987,37.34070556,119.6204631,100.8669812,91.03317969,
2031,6,0.015304979,0.023770638,0.187584357,34.87662031,1.526985542,0.555664826,0.208806499,3.889944531,0.027420471,37.34046676,121.5944029,102.4055507,93.61371014,
2032,7,0.016450254,0.023526697,0.186842911,34.09350255,1.547911514,0.535597856,0.216737147,3.823805518,0.025695723,37.42175175,123.6358475,103.9934569,96.26130219,
2033,8,0.017338474,0.023241619,0.186398288,33.43754211,1.568367615,0.517854486,0.224077267,3.761001342,0.024079462,37.57266609,125.7464394,105.6395512,98.97801532,
2034,9,0.017982212,0.022951574,0.186182536,32.88791459,1.588430141,0.502040009,0.230813772,3.701594595,0.022564864,37.78156443,127.9267299,107.3460196,101.7658331,
2035,10,0.018474024,0.022666747,0.186048664,32.42520838,1.60816289,0.487800352,0.23696491,3.645582235,0.021145534,38.03745976,130.1768058,109.1170182,104.626694,32.49910095
2036,11,0.018796697,0.022410487,0.186003222,32.03656311,1.627618015,0.474892576,0.242558389,3.592828968,0.01981548,38.33396828,132.4968308,110.9516779,107.5625123,32.09907196
2037,12,0.019105956,0.022141237,0.186038642,31.70827656,1.646839952,0.463075007,0.247641401,3.543213733,0.018569086,38.66373582,134.8867082,112.839707,110.5751891,31.7635606
2038,13,0.019244523,0.021994213,0.186042028,31.43739717,1.665864918,0.452265699,0.25222638,3.496616157,0.017401091,39.02683743,137.348292,114.7956825,113.666626,31.48484141
2039,14,0.019470184,0.021738619,0.186070232,31.21035776,1.684727357,0.442244268,0.256437652,3.452822419,0.016306562,39.41758244,139.8809693,116.810841,116.8386936,31.25657365
2040,15,0.019634192,0.021599128,0.186065493,31.03161245,1.703453571,0.433040522,0.260203526,3.411682924,0.015280879,39.83885992,142.4869488,118.8851711,120.0932813,31.07516303
2041,16,0.01981901,0.021480951,0.186001872,30.89522433,1.722072539,0.424546661,0.263642939,3.373005968,0.014319712,40.29105422,145.1672652,121.0233697,123.4322484,30.93781446
2042,17,0.020037882,0.021424394,0.185840589,30.80122345,1.740609673,0.416736887,0.266790536,3.336588832,0.013419002,40.7767689,147.9233534,123.2251104,126.8574388,30.84650868
2043,18,0.020417108,0.021394173,0.185539993,30.75065433,1.759090407,0.409598933,0.269713337,3.302207076,0.012574947,41.30077014,150.7568978,125.4863494,130.370674,30.80484609
2044,19,0.020987397,0.0214615,0.184989193,30.75382884,1.7775408,0.403234908,0.272445515,3.26961337,0.011783983,41.87537748,153.6713066,127.8108561,133.9737413,30.82185533
2045,20,0.021865731,0.021641441,0.18404118,30.8232995,1.795993097,0.397766805,0.275079594,3.238477507,0.01104277,42.51770393,156.6701654,130.2033513,137.6683475,30.91612402
2046,21,0.023410077,0.021975316,0.182450169,30.98027054,1.814487077,0.393411277,0.277715923,3.208359477,0.01034818,43.25405824,159.7578289,132.6494252,141.4560909,31.11911181
2047,22,0.025868942,0.022634742,0.179717936,31.27256692,1.833075239,0.390682937,0.280484028,3.178628418,0.009697279,44.13851358,162.9428319,135.1652741,145.3384149,30.51674925
2048,23,-0.011703001,0.025324905,0.194719162,31.76559324,1.85183878,0.390265112,0.283649726,3.148249472,0.009087321,45.24967589,166.2319371,138.600632,149.3164648,29.98829776
2049,24,0.023964923,0.022850096,0.177652659,27.74201607,1.870898135,0.354011542,0.288871997,3.132900366,0.020248584,43.37812285,168.8771303,140.287479,153.3910366,29.48911969
2050,25,0.021956101,0.022559358,0.180221517,28.18104204,1.887543345,0.354086996,0.291744577,3.10341971,0.018974948,44.50158806,172.3358206,143.0544507,157.5803924,28.97591415
2051,26,0.020675936,0.022485286,0.181705213,28.48438017,1.90445197,0.352409864,0.294208782,3.077970319,0.017781424,45.47647451,175.8480094,145.8768571,161.8751423,28.40011156
2052,27,0.019900602,0.022568189,0.182416675,28.70653922,1.921542598,0.349706555,0.296469869,3.055344395,0.016662972,46.36745389,179.4286014,148.7665364,166.2775773,28.66170121
2053,28,0.019447899,0.022736888,0.18273107,28.8865803,1.938766522,0.346478623,0.298672144,3.034688879,0.015614871,47.22171525,183.086684,151.7162685,170.7898628,28.86911694
2054,29,0.019263762,0.022995867,0.182676537,29.04996432,1.95609847,0.343041949,0.300891672,3.015535031,0.014632696,48.07003408,186.8291558,154.735562,175.4141,29.05479552
2055,30,0.019349876,0.023338891,0.182308162,29.21812067,1.973528449,0.33964718,0.303203977,2.997468147,0.013712299,48.93973604,190.6616146,157.8223861,180.1523217,29.24601116
2056,31,0.019789485,0.023791616,0.181549826,29.41277307,1.991059321,0.336531446,0.305674845,2.980147449,0.012849796,49.85897076,194.5902493,160.9772768,185.0064821,29.47111241
2057,32,0.020771116,0.02439331,0.180162976,29.66261746,2.008706985,0.333989914,0.308387738,2.963186032,0.012041543,50.86549226,198.6227628,164.2084392,189.9784021,29.76539358
2058,33,0.022487538,0.025312222,0.177922338,30.01208652,2.026504555,0.332461698,0.311453961,2.94601062,0.01128413,52.01739252,202.7687218,167.5030615,195.069684,30.18071817
2059,34,0.025478424,0.026658928,0.174136558,30.52137018,2.044511807,0.332516614,0.315118575,2.92788339,0.010574359,53.39905148,207.0392754,170.8761666,200.2815962,29.9761912
2060,35,-0.005380705,0.03065283,0.187853586,31.29474363,2.062824629,0.335127632,0.319701208,2.907499269,0.009909231,55.15159502,211.4439613,175.5344524,205.6149277,29.27351766
2061,36,-0.004738156,0.031108868,0.18493967,28.39013824,2.081601476,0.308659468,0.32730585,2.900333928,0.014860724,53.73124593,215.2099885,178.8764645,211.0698822,28.6451895
