year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2026,0,-0.026052915,0.022825237,0.187608818,53.20188482,1.38,0.790835,0.15254,4.35,0,40.63263165,110.98,95.11828993,88.39725094,
2027,1,0.009201153,0.023479744,0.181426173,42.81296181,1.411921131,0.71503852,0.162355029,4.255902538,0.026053319,38.70055365,112.3583751,96.16389858,90.90590619,
2028,2,-0.011547989,0.024432168,0.185971222,41.21632597,1.437608908,0.679147868,0.172227007,4.161898369,0.024414566,38.42315538,114.0311798,97.68184701,93.47128471,
2029,3,0.015140787,0.024380751,0.176036295,37.56417605,1.462338704,0.624879762,0.182360143,4.077776203,0.034458148,37.18605924,115.5759992,98.5280838,96.09874522,
2030,4,-0.010720721,0.025066341,0.185661445,36.590496,1.484877209,0.600349604,0.192010841,3.989720944,0.032290731,37.24696886,117.3857396,100.2500596,98.79409814,
2031,5,0.018357675,0.024106976,0.175120426,33.66917806,1.506831507,0.551864608,0.201727378,3.915789196,0.04102039,36.02507124,118.9908323,100.9852169,101.5580604,
2032,6,0.018279031,0.023698377,0.177421056,33.08335188,1.527033014,0.534899783,0.210264852,3.836774813,0.038440207,36.29342772,120.9553658,102.3828531,104.3978397,
2033,7,0.018333617,0.023351133,0.179176381,32.53888346,1.546883025,0.518909443,0.21806659,3.764658386,0.036022318,36.55815072,122.9888723,103.8633391,107.3120836,
2034,8,0.018418163,0.023060374,0.180625001,32.04206642,1.566406355,0.503956389,0.225200836,3.698509976,0.033756514,36.83081895,125.0927713,105.4181343,110.3027301,
2035,9,0.018557165,0.022832511,0.181668291,31.59285275,1.585631595,0.490003048,0.231734715,3.637677474,0.03163323,37.11696582,127.2681126,107.0553522,113.3717222,
2036,10,0.018647326,0.022648935,0.182654962,31.19283037,1.604587306,0.477036713,0.237741455,3.581463204,0.029643499,37.42323,129.5153066,108.7557355,116.5210074,31.2377516
2037,11,0.018734282,0.022532472,0.183327811,30.83711637,1.623303005,0.464949991,0.243278755,3.52952871,0.027778923,37.74962517,131.8353754,110.5382346,119.7525485,30.8791107
2038,12,0.018778634,0.022460901,0.183930216,30.52389211,1.641805274,0.453684542,0.248422036,3.481326907,0.026031629,38.09908424,134.2281045,112.3862484,123.068308,30.56247457
2039,13,0.018808281,0.022449531,0.184293828,30.24886192,1.66011961,0.443149637,0.253226405,3.436564007,0.02439424,38.47132622,136.6941931,114.3130098,126.4702759,30.28417434
2040,14,0.018782843,0.022464561,0.184736201,30.00967207,1.678268927,0.433286039,0.257757754,3.394814769,0.022859842,38.86797588,139.2334578,116.2945931,129.9604516,30.04103192
2041,15,0.018738948,0.022544658,0.184937157,29.80132922,1.69627473,0.424001473,0.262051481,3.3559643,0.021421958,39.28696808,141.8472612,118.3571251,133.5408653,29.82942593
2042,16,0.018652696,0.022649141,0.185175085,29.62140428,1.714155528,0.415243083,0.266173552,3.319619969,0.020074517,39.72955231,144.535164,120.4784998,137.2135468,29.64666852
2043,17,0.018586216,0.022813353,0.185116603,29.46586215,1.73192837,0.406939665,0.270153125,3.285661519,0.01881183,40.19404851,147.2982786,122.6850299,140.9805672,29.48954094
2044,18,0.01846366,0.022970761,0.185290596,29.33507489,1.749607887,0.39908106,0.27404735,3.253680406,0.017628566,40.6839313,150.1361798,124.934595,144.8440077,29.35506946
2045,19,0.018301802,0.02316432,0.185440545,29.22403415,1.767208932,0.391588895,0.277855114,3.223762576,0.016519729,41.19535022,153.0511808,127.2502906,148.8059965,29.24131461
2046,20,0.018188816,0.023422197,0.185185902,29.12897182,1.784743353,0.38440502,0.281611176,3.195761355,0.015480638,41.72686111,156.0439228,129.663406,152.8686484,29.14578655
