year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2026,0,-0.030722002,0.031149719,0.26580428,52.77514611,1.38,0.790835,0.15254,4.35,0,40.24564781,110.98,88.81654552,102.9109201,
2027,1,-0.023633725,0.03290357,0.261061164,41.76040594,1.411665088,0.710369463,0.167733966,4.325947461,0.030722102,38.34199474,112.8432978,90.54688585,105.6307356,
2028,2,0.017213766,0.033613995,0.24852588,37.27070405,1.436721331,0.642053407,0.183632534,4.299152077,0.052424243,36.79450624,114.6953368,91.7742817,108.4093366,
2029,3,0.018656504,0.034401563,0.247039898,36.38236418,1.459083754,0.618421012,0.199542989,4.262894479,0.049126758,37.15906608,116.9519437,93.44689269,111.2529216,
2030,4,0.019618954,0.035083486,0.246075077,35.63639347,1.480913172,0.597616378,0.215462408,4.227482053,0.046036685,37.59880565,119.2745144,95.1756367,114.1615067,
2031,5,0.020227847,0.035676287,0.245424945,34.99998954,1.502295008,0.579001501,0.231280707,4.193324866,0.043140978,38.09661004,121.6630932,96.96587456,117.1365702,
2032,6,0.020577902,0.036172816,0.244998157,34.44869219,1.523295002,0.562103748,0.246906179,4.160625561,0.04042741,38.63909154,124.1172764,98.81792741,120.1795743,
2033,7,0.020759703,0.036648266,0.24471004,33.96424575,1.543964217,0.546572248,0.262249123,4.129493671,0.037884526,39.21550096,126.6367314,100.7249327,123.2919798,
2034,8,0.020817021,0.037052058,0.244467561,33.53421788,1.564342765,0.532164319,0.277280471,4.099957264,0.03550159,39.82018628,129.2219505,102.6960971,126.4752543,
2035,9,0.020799994,0.037478736,0.244261893,33.14908088,1.584463295,0.518694143,0.291940445,4.071960681,0.03326854,40.44763802,131.8729101,104.719766,129.7308709,
2036,10,0.020721897,0.03789291,0.244049645,32.80257109,1.604352744,0.506034441,0.306244681,4.045443878,0.031175948,41.09668472,134.5906992,106.8027905,133.0603177,32.83604063
2037,11,0.02059418,0.038306933,0.243834383,32.48936834,1.624034287,0.494078491,0.320186156,4.020312311,0.029214981,41.76551319,137.3759811,108.943421,136.4650905,32.51834746
2038,12,0.02042977,0.038740766,0.243614369,32.20496496,1.643527908,0.482737015,0.333770355,3.996480346,0.027377359,42.45287306,140.2296107,111.1395156,139.9466987,32.23025564
2039,13,0.02023558,0.039184265,0.243356561,31.94575203,1.662850887,0.471938331,0.34702032,3.973866045,0.025655323,43.15845681,143.1527074,113.3955544,143.5066653,31.96788023
2040,14,0.020014483,0.039652675,0.243113483,31.70862176,1.682018338,0.461621666,0.359952463,3.952363459,0.024041603,43.88186052,146.1461554,115.7053589,147.1465257,31.72813859
2041,15,0.019789247,0.040163946,0.242809834,31.49069405,1.701043511,0.451732736,0.372595955,3.931919149,0.022529386,44.62304161,149.2113345,118.0734308,150.8678314,31.50789898
2042,16,0.019509513,0.040649037,0.242525352,31.29066017,1.719937927,0.442241463,0.384994146,3.912416907,0.021112288,45.38373636,152.3495911,120.5050667,154.6721457,31.30476107
2043,17,0.019243714,0.04119544,0.242190586,31.10376689,1.738712323,0.433073745,0.397135183,3.893817422,0.019784325,46.1603582,155.5614185,122.9915512,158.5610448,31.11655604
2044,18,0.018963489,0.041751785,0.24188465,30.93006248,1.757374584,0.424222482,0.409077554,3.87602294,0.018539891,46.95618055,158.8487073,125.5342835,162.5361274,30.94151144
2045,19,0.018683211,0.042337453,0.241567703,30.76759663,1.775932621,0.415655179,0.420837037,3.859010846,0.017373732,47.77104808,162.2130492,128.1349835,166.599002,30.77792937
2046,20,0.018402167,0.042939894,0.241215528,30.61547102,1.794393179,0.40735444,0.432444567,3.842725027,0.016280924,48.60630786,165.6561776,130.7991693,170.7512895,30.62463804
2047,21,0.018104252,0.043548418,0.240911667,30.47274987,1.812762462,0.399303299,0.44391995,3.82709157,0.015256854,49.46287133,169.1795376,133.5213403,174.994622,30.48026227
2048,22,0.017804539,0.044172146,0.240602084,30.33731019,1.831046112,0.391471193,0.455273716,3.812114024,0.014297198,50.34007488,172.784865,136.3061224,179.3306459,30.34404112
2049,23,0.017529949,0.044814434,0.240244312,30.20818363,1.849248498,0.383843147,0.466523419,3.797748503,0.013397904,51.23863862,176.4738685,139.1562546,183.7610192,30.21527104
2050,24,0.0172581,0.045429837,0.240006553,30.0864909,1.867373408,0.376429565,0.477688637,3.783916658,0.012555176,52.16155961,180.2485818,142.0606987,188.2874121,30.09324093
2051,25,0.016984209,0.046081578,0.239695359,29.97162061,1.885425302,0.369219875,0.488751325,3.7706917,0.011765455,53.10868287,184.1116933,145.0382843,192.9115035,29.97796661
2052,26,0.016738804,0.04674265,0.239368473,29.86259934,1.903408275,0.36219981,0.499745675,3.757973595,0.011025408,54.08136779,188.0645954,148.0822144,197.6349719,29.86984901
2053,27,0.016514863,0.047343182,0.239223735,29.76093857,1.921325834,0.355383684,0.510682347,3.745718677,0.01033191,55.08283101,192.1098143,151.1780029,202.4595099,29.76996495
2054,28,0.016354665,0.047995853,0.238873426,29.66759566,1.939182397,0.348778544,0.521514625,3.734058465,0.009682033,56.11355738,196.25105,154.3597284,207.3868109,29.67995412
2055,29,0.016230804,0.048658009,0.238529877,29.58707058,1.956982955,0.342429296,0.532290071,3.722778516,0.009073033,57.18165112,200.4904971,157.6097833,212.4185523,29.60277651
2056,30,0.01618299,0.04929719,0.238286163,29.52156649,1.974735197,0.336353178,0.54301908,3.711862281,0.008502339,58.29148228,204.8314048,160.9159265,217.5564112,29.54375612
2057,31,0.016299899,0.050027492,0.237763602,29.47671124,1.992448137,0.330602181,0.553684997,3.701375322,0.007967542,59.45038118,209.2789403,164.3073739,222.8020463,29.51130621
2058,32,0.016617232,0.050810464,0.237171981,29.46583663,2.010134164,0.325304785,0.564365533,3.691049302,0.007466384,60.67873411,213.8381966,167.7575657,228.1570697,29.51873075
2059,33,0.017278135,0.051778592,0.236065986,29.50534613,2.027813666,0.320612661,0.575102882,3.680814565,0.006996748,61.99991435,218.5172857,171.29843,233.6230384,29.58821983
2060,34,0.01848602,0.053014234,0.234289186,29.62419326,2.045516874,0.316794127,0.586045689,3.670217418,0.006556653,63.45762729,223.3249447,174.9173933,239.2013999,29.75497905
2061,35,0.020524507,0.054632668,0.231633824,29.86901187,2.063291389,0.31427583,0.597401932,3.658694024,0.006144239,65.12111754,228.2740564,178.5939423,244.8934602,28.9228576
2062,36,-0.015192048,0.058865065,0.239200732,30.31050737,2.081212797,0.313692448,0.609461838,3.645531136,0.005757767,67.0950978,233.3811809,183.389066,250.7002938,28.13963069
2063,37,0.01770543,0.056316376,0.22887644,25.30522938,2.099399101,0.278767469,0.624306252,3.639732856,0.020598163,64.89583399,237.403371,186.0740074,256.622634,27.35806366
2064,38,0.015705668,0.056513742,0.231150056,25.58921155,2.114582239,0.277814936,0.636273671,3.625277717,0.019302539,66.82488866,242.7238923,190.132098,262.6772945,26.5319936
2065,39,0.01430622,0.056962655,0.232500017,25.71635815,2.129935766,0.275159839,0.647746256,3.613659527,0.018088409,68.55595019,248.1129694,194.2402012,268.8554704,25.60876367
2066,40,0.013332003,0.057610035,0.233178426,25.73866157,2.14536558,0.27141703,0.658956389,3.603901492,0.016950648,70.16740845,253.5927692,198.4166485,275.1593892,25.66840229
2067,41,0.012574735,0.058398911,0.233369156,25.69435771,2.160808777,0.26702498,0.670081442,3.595307482,0.015884452,71.71856089,259.1782056,202.6912558,281.591173,25.64634316
2068,42,0.011957487,0.05923274,0.233382589,25.60342246,2.176225392,0.262215201,0.68124265,3.587383952,0.01488532,73.24235264,264.8764748,207.0461406,288.1528861,25.57035178
2069,43,0.011504942,0.06010992,0.23321037,25.47891592,2.191587446,0.257138156,0.692475054,3.57993704,0.013949034,74.75889103,270.6943358,211.4847804,294.846603,25.45830497
2070,44,0.011082297,0.060926836,0.233158972,25.33640126,2.206874795,0.251958922,0.703810484,3.572777182,0.013071639,76.29259282,276.6396541,215.9999025,301.6743973,25.32220528
2071,45,0.010753194,0.061889094,0.232717291,25.17842748,2.222076636,0.246710628,0.715193381,3.565992545,0.012249433,77.84522312,282.7174173,220.644142,308.6383147,25.17135744
2072,46,0.010493614,0.062806915,0.232339495,25.01385927,2.237183692,0.241482558,0.726741254,3.559221734,0.011478944,79.43712702,288.9311231,225.3723233,315.7403956,25.01321577
2073,47,0.010277169,0.063710179,0.232023438,24.84918324,2.252192008,0.23633685,0.738408202,3.552519484,0.010756918,81.07722132,295.287407,230.1886207,322.9826929,24.85370086
2074,48,0.010142885,0.064540206,0.231757986,24.6882076,2.267101518,0.231307836,0.750175563,3.545935448,0.010080308,82.77214894,301.7922208,235.1039878,330.3672198,24.69952591
2075,49,0.010077467,0.06543959,0.231397072,24.5388267,2.281914442,0.2264633,0.761977109,3.539506677,0.009446257,84.53229166,308.4526331,240.1274396,337.8959487,24.55800174
2076,50,0.010130502,0.066685376,0.230609432,24.40755272,2.296637738,0.221854615,0.773868301,3.533141077,0.008852087,86.37319841,315.275037,245.2654392,345.570788,24.43917035
2077,51,0.010378378,0.067981329,0.229513158,24.30623846,2.31128227,0.21757478,0.786130984,3.526463972,0.008295291,88.33283348,322.2673883,250.5488629,353.3935777,24.35565703
2078,52,0.010791073,0.06958516,0.228048728,24.25502626,2.325866013,0.213779379,0.798785933,3.519225121,0.007773517,90.44855546,329.4387208,255.9461481,361.3660537,23.8145903
2079,53,-0.004733773,0.073000612,0.231731658,24.27064098,2.340419029,0.210585352,0.81206564,3.511136841,0.007284563,92.7667851,336.798576,262.2018924,369.4898094,23.31342925
2080,54,0.010429578,0.071505701,0.225528969,21.83349306,2.354981413,0.19259333,0.827424936,3.506723925,0.011794356,92.32086661,343.4716148,266.8016515,377.7662516,22.84294701
2081,55,0.010128457,0.072334798,0.225746715,21.90174747,2.368081509,0.190351517,0.840706117,3.497175448,0.011052491,94.87543171,351.1976289,272.5739501,386.2095783,22.39660029
2082,56,0.010131377,0.07372199,0.225018138,21.9538273,2.381222558,0.187975988,0.853936777,3.488377617,0.010357289,97.46575728,359.0957624,278.4945316,394.812162,21.6452003
2083,57,-0.001638283,0.076934696,0.228281326,22.02329263,2.394394854,0.185745771,0.867581584,3.479461986,0.009705816,100.1825016,367.1811847,285.2471906,403.5757762,21.12106883
2084,58,-0.001272628,0.077371659,0.226926559,20.51364103,2.40760883,0.17241931,0.883123046,3.47390802,0.01129729,100.6298292,374.7506826,291.152012,412.5020047,20.59378962
2085,59,0.008719334,0.075427593,0.223314672,19.21283573,2.419917014,0.160298071,0.898167625,3.46750221,0.012482596,101.2520394,382.5003055,296.5905121,421.6029861,20.05594254
2086,60,0.008124405,0.075450408,0.224570375,19.26535141,2.431444716,0.158472511,0.910766109,3.458329044,0.011697441,104.0950817,391.1440464,303.0538952,430.8831546,19.49827208
2087,61,0.007737841,0.075970071,0.225020085,19.26459188,2.443003927,0.156225879,0.922678806,3.450787799,0.010961672,106.8625929,399.9615654,309.6689933,440.3360444,19.23555526
2088,62,0.007550621,0.076939202,0.224817882,19.23494034,2.454562682,0.153768161,0.934357276,3.44408015,0.010272183,109.631005,408.9695446,316.4255228,449.963851,18.98940722
2089,63,-0.001050401,0.079225875,0.227191644,19.20005695,2.466103646,0.151290869,0.946189884,3.43759004,0.009626062,112.4750634,418.1840984,323.8587674,459.7686315,18.72673341
2090,64,0.006976018,0.078274329,0.223770208,17.98209553,2.47762368,0.14072144,0.959266716,3.433542088,0.010733224,113.3550937,426.9743778,330.2032831,469.7522721,18.45543808
2091,65,0.006734905,0.07893381,0.22390017,17.95198237,2.488412937,0.138517552,0.970816133,3.426758986,0.010058104,116.3423311,436.6141922,337.4369675,479.9264549,17.97464309
2092,66,-0.000683413,0.080886489,0.226040193,17.9081152,2.499184127,0.136230208,0.982267765,3.420486657,0.009425449,119.3743105,446.4702113,345.2830062,490.285508,17.49147413
2093,67,0.006158868,0.079991515,0.223263368,16.83096542,2.509928996,0.126976453,0.994708878,3.41644055,0.01024742,120.5693289,455.9488345,352.1920196,500.8314122,17.23860886
2094,68,0.005884185,0.080326546,0.223713073,16.78421211,2.520027575,0.124870199,1.005700526,3.410219613,0.009602857,123.7211774,466.2563445,359.9289307,511.5755072,16.97786936
2095,69,0.005738322,0.08147694,0.223174299,16.7177692,2.530098103,0.122643819,1.016352728,3.40475412,0.008998838,126.8871651,476.7921274,367.8524606,522.512434,16.53988141
2096,70,-0.000189589,0.083288054,0.224651516,16.64828486,2.540128764,0.120420896,1.027369401,3.39914079,0.008432811,130.1642207,487.5692708,376.3267691,533.6442574,16.30802977
2097,71,0.005431678,0.083209304,0.22185787,15.71817547,2.550117735,0.112656689,1.039283821,3.39513898,0.008926649,131.8346671,498.0603414,384.0020836,544.9729069,15.92286755
2098,72,0.000139948,0.084832465,0.223132531,15.67170719,2.55954864,0.110763963,1.050460096,3.388945141,0.008365163,135.356104,509.3488367,392.8739426,556.5087493,15.39901686
2099,73,0.000160665,0.085218859,0.222300932,14.858401,2.568951665,0.103936766,1.062367769,3.384221689,0.008609575,137.3688691,520.3854338,401.3983668,568.2469027,14.87906484
2100,74,0.004666774,0.084374152,0.22099299,14.09851577,2.577866705,0.097559681,1.073927782,3.379052693,0.008822861,139.5049906,531.680536,409.7085422,580.1973965,14.39137342
2101,75,-0.000153018,0.085132122,0.222855983,14.04852478,2.586325815,0.095893444,1.084122941,3.373050134,0.008267903,143.209391,543.7462167,419.0847975,592.3639777,13.89666716
2102,76,0.004054244,0.084038313,0.221793086,13.27971837,2.594754929,0.08970861,1.094378623,3.369017264,0.008743677,145.3465432,555.5597264,427.9245374,604.7422071,13.54321561
2103,77,0.003783621,0.083931559,0.222545984,13.19817585,2.602722761,0.08796436,1.103127143,3.364297822,0.0081937,149.0245782,568.154472,437.4013794,617.3425612,13.3167917
2104,78,0.003566127,0.083973273,0.223034984,13.09114327,2.610641666,0.086079076,1.111286063,3.36050821,0.007678316,152.6765687,581.024125,447.1082461,630.1606667,13.07316015
2105,79,0.003392363,0.084513487,0.22293129,12.96639626,2.618496352,0.084109345,1.119014082,3.357364525,0.00719535,156.3355942,594.1795259,457.0508428,643.1987442,12.95507988
2106,80,0.003261036,0.0850548,0.222807072,12.83036701,2.62627619,0.08210023,1.126758706,3.354314797,0.006742763,160.0648518,607.6303755,467.206354,656.4589439,12.82537354
2107,81,0.003172934,0.085765123,0.222461935,12.68931701,2.63397441,0.080093204,1.134519915,3.351335727,0.006318643,163.8824751,621.3886,477.5997792,669.9433481,12.57396307
2108,82,-0.00017656,0.087201876,0.222537697,12.54964417,2.641588,0.078128147,1.142440238,3.348231604,0.0059212,167.8238869,635.4651125,488.4836382,683.6539191,12.21714469
2109,83,-0.000130701,0.08734268,0.222122596,11.83409091,2.649117787,0.073037134,1.151126549,3.345374732,0.00656288,170.5558926,649.4181474,499.1748584,697.592498,11.86195731
2110,84,0.002706924,0.086592098,0.221637451,11.18230437,2.656218241,0.068312283,1.159436171,3.342325,0.007128583,173.4274295,663.7054203,509.9275938,711.7682743,11.50614953
2111,85,0.002524638,0.086521306,0.222115953,11.05443007,2.662927624,0.066640576,1.166632632,3.339032906,0.006680195,177.6318182,678.762517,521.3051327,726.184643,11.1471454
2112,86,0.002371938,0.086667351,0.222300158,10.91027811,2.669560282,0.06490197,1.173356041,3.336348304,0.006260011,181.8434548,694.1539947,532.9578584,740.8377847,10.89877027
2113,87,0.00224862,0.086976954,0.222218029,10.75462353,2.676106449,0.06312781,1.179817805,3.333980343,0.005866256,186.100295,709.890022,544.9099056,755.7296534,10.74771139
2114,88,0.00214996,0.087350241,0.222106802,10.59221529,2.682559223,0.061347608,1.18617222,3.331679627,0.005497269,190.435765,725.9796237,557.0992091,770.8621267,10.58944289
2115,89,0.002076673,0.087748943,0.221991083,10.42700997,2.688914552,0.059584807,1.192479719,3.329417006,0.005151491,194.8709259,742.4365759,569.5433521,786.2370126,10.34817124
