year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2025,0,-0.021724003,0.033167244,0.261437261,53.20188482,1.38,0.790835,0.15254,4.35,0,40.63263165,110.98,88.99695421,122.0585342,
2026,1,-0.015542743,0.033447735,0.253644852,43.56476651,1.402344792,0.71936734,0.168900821,4.322109746,0.021725486,39.15572315,112.8835978,91.05968632,125.0797653,
2027,2,-0.012518767,0.040334145,0.253103782,39.10921194,1.420641994,0.658575718,0.185100979,4.289008639,0.03591116,37.96551453,114.7865166,92.00474982,128.1639011,
2028,3,-0.003731837,0.039066178,0.239965906,35.93644755,1.437067863,0.604631091,0.205003322,4.25739757,0.046194511,37.03980704,116.7401481,94.58709172,131.3165159,
2029,4,-0.007405846,0.044676443,0.238393755,33.80270372,1.452161171,0.562864097,0.223730199,4.21604762,0.047333312,36.49707928,118.7345611,95.76614934,134.540719,
2030,5,0.030529125,0.037723191,0.213550727,31.532214,1.466358306,0.520049968,0.245412621,4.175772155,0.051869003,35.85717124,120.7119161,97.39354855,137.8393718,
2031,6,0.035268174,0.042709803,0.214893928,31.71997323,1.479601836,0.516075782,0.261900801,4.115745741,0.048606443,37.02306982,123.1766706,98.3860406,141.2157723,
2032,7,-0.008201292,0.043653389,0.241230361,32.18899243,1.492924225,0.516472599,0.281172089,4.060539084,0.045549098,38.53585763,125.7851168,101.0331889,144.6669243,
2033,8,0.021310532,0.043185123,0.220831561,29.93946764,1.506443602,0.475781114,0.300362344,4.032030413,0.050970009,37.69038899,127.9193965,102.6452201,148.1929652,
2034,9,0.021264149,0.03907196,0.240221566,29.72932492,1.519018178,0.466210751,0.318445659,3.987152467,0.047763995,38.5569772,130.5022631,103.267781,151.801987,
2035,10,0.023801478,0.041589467,0.231567336,29.5456376,1.531504494,0.457180631,0.33269342,3.962109056,0.04475964,39.33562346,133.2383632,105.7125448,155.4915658,29.60982538
2036,11,0.019376492,0.041082314,0.236380648,29.5428048,1.543913662,0.450986446,0.348157438,3.93092567,0.041944259,40.33404413,136.0457089,107.898527,159.2620622,29.44514681
