year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC
2025,0,-0.032102275,0.038513086,0.243034701,53.20188482,1.38,0.790835,0.15254,4.35,0,40.63263165,110.98,89.70098775,183.1819527
2026,1,-0.013420659,0.041821591,0.237540424,41.94234865,1.411921131,0.708989195,0.17173459,4.305841341,0.032102341,38.76198912,112.6792641,91.46798874,187.8128127
2027,2,-0.008184996,0.044918356,0.231279508,38.35553865,1.43708654,0.650972009,0.192569491,4.259439948,0.043521627,37.80287616,114.5165248,93.10277457,192.5348838
2028,3,-0.006181734,0.047758226,0.225972028,35.71254672,1.460099863,0.60183764,0.214897664,4.210242645,0.04905418,37.14602506,116.4051908,94.69258826,197.3572439
2029,4,-0.005298913,0.050260035,0.221746745,33.42703974,1.481527391,0.557796015,0.238525179,4.159262046,0.052303966,36.63374098,118.3294272,96.25138755,202.284511
2030,5,-0.005114292,0.052261916,0.218661125,31.3483621,1.501583615,0.517406967,0.263191606,4.10756901,0.054511718,36.20301236,120.2863219,97.78784015,207.3210316
2031,6,0.009916544,0.053299006,0.210807661,29.40252855,1.520392632,0.479742649,0.288521129,4.056223902,0.056406952,35.80617351,122.2719241,99.06270732,212.471126
2032,7,-0.006155671,0.054835521,0.216341465,28.51405849,1.53803415,0.459281719,0.313826139,4.000939109,0.052858955,36.2597855,124.5408081,100.9757129,217.7392301
2033,8,0.010917552,0.054616615,0.209151398,26.64583651,1.555142585,0.42423158,0.339340466,3.953923343,0.055844534,35.80007298,126.5861371,102.2440963,223.1249964
2034,9,0.01087303,0.054672912,0.21041307,25.97030022,1.571130087,0.408187117,0.363822059,3.903309444,0.052331913,36.35957538,129.0021363,103.9857131,228.6368152
2035,10,0.010906653,0.054575718,0.211388703,25.33499634,1.586712267,0.393098811,0.387394659,3.856861754,0.049040236,36.91859104,131.4850174,105.8098406,234.2728421
2036,11,0.010982916,0.054391116,0.212133477,24.74282742,1.601913264,0.378980306,0.409914689,3.814067961,0.045955605,37.48061298,134.0360174,107.7113049,240.035889
2037,12,0.011094462,0.05414169,0.212686339,24.19450109,1.616758961,0.365810515,0.431305075,3.774497976,0.043064997,38.04862123,136.6562831,109.6873371,245.9288018
2038,13,0.011192417,0.05386149,0.213081213,23.69033192,1.631275662,0.353562505,0.451521274,3.73778389,0.040356209,38.62574942,139.3470935,111.7382287,251.9544585
2039,14,0.011309239,0.053576034,0.213341309,23.22757791,1.645489861,0.342165071,0.470556996,3.703611298,0.037817803,39.21255343,142.1089362,113.8573366,258.1157643
2040,15,0.011402389,0.053298795,0.213487996,22.80573692,1.659426407,0.331581908,0.488435008,3.671706231,0.035439063,39.81228302,144.9433273,116.0473218,264.4156658
2041,16,0.0114861,0.053048496,0.213535201,22.4216061,1.67310985,0.32173931,0.505195193,3.641830841,0.033209946,40.42530575,147.8508749,118.3044336,270.8571321
2042,17,0.011538841,0.052830263,0.213496744,22.0730602,1.686562813,0.312581621,0.520896504,3.613774454,0.031121041,41.05324623,150.8327014,120.6302684,277.4431719
2043,18,0.011576842,0.052654409,0.213383131,21.75663481,1.699806649,0.304036861,0.535604236,3.587351696,0.029163527,41.69599062,153.8894054,123.0216629,284.1768252
2044,19,0.011583819,0.05252119,0.213203454,21.4700893,1.71286063,0.296052782,0.549392766,3.562397933,0.027329141,42.35471206,157.022115,125.4805172,291.0611751
2045,20,0.011571936,0.052433664,0.21296618,21.21015421,1.725742684,0.288565542,0.562336198,3.538766693,0.025610138,43.02906919,160.2314942,128.004882,298.0993395
2046,21,0.011537136,0.052390178,0.212678512,20.97450513,1.738468776,0.281526672,0.574509866,3.516327951,0.023999261,43.71960023,163.5185953,130.5955395,305.2944831
2047,22,0.011489722,0.052389587,0.212347824,20.76060539,1.751053479,0.27488713,0.585985856,3.494965973,0.022489707,44.426285,166.8843418,133.2513522,312.6498113
2048,23,0.01142242,0.052427816,0.211978394,20.56672522,1.763509843,0.268610494,0.596833084,3.474578566,0.021075105,45.14983773,170.3300012,135.9742187,320.1685761
2049,24,0.011338118,0.052500815,0.211577323,20.3906573,1.775849878,0.262656036,0.607114665,3.45507351,0.019749481,45.89008443,173.8565754,138.7642307,327.8540702
2050,25,0.011247482,0.052604711,0.21115205,20.23045349,1.788084272,0.256988283,0.616887909,3.436370411,0.018507238,46.64688784,177.4651629,141.6204606,335.7096353
2051,26,0.011138354,0.05273454,0.210702441,20.085002,1.800222544,0.251583755,0.626204539,3.418400263,0.017343133,47.42094607,181.1572624,144.5463103,343.7386621
2052,27,0.011033022,0.052885232,0.210242488,19.95229125,1.812273546,0.24640939,0.635109882,3.401098107,0.01625225,48.2115374,184.9338717,147.5384297,351.9445837
2053,28,0.010912707,0.053051017,0.209770962,19.83205582,1.82424492,0.241454496,0.64364298,3.384415161,0.015229983,49.02001514,188.7969264,150.6017764,360.3308885
2054,29,0.01079578,0.053227834,0.20929616,19.7225701,1.836144154,0.236691982,0.651836227,3.368304501,0.014272017,49.84556728,192.747571,153.73411,368.9011011
2055,30,0.010690315,0.053408515,0.208830478,19.6235865,1.847977696,0.232113141,0.659717068,3.352729284,0.013374308,50.68920391,196.7877546,156.9350161,377.6588008
2056,31,0.010580853,0.053591026,0.208363353,19.5355224,1.859751848,0.227717125,0.667305603,3.337665726,0.012533064,51.55266402,200.9198796,160.2103861,386.6076055
2057,32,0.010471881,0.053764892,0.207917006,19.45753123,1.871473161,0.223489119,0.674619234,3.323082225,0.011744734,52.43588115,205.1455873,163.5590589,395.7511609
2058,33,0.010372451,0.053927705,0.207491386,19.38914882,1.88314768,0.219419295,0.681665694,3.308968507,0.01100599,53.3390004,209.4668833,166.9815459,405.0931564
2059,34,0.010298202,0.054079501,0.207081706,19.33068757,1.894781169,0.215506621,0.688450317,3.295314869,0.010313713,54.26320968,213.8862256,170.4780749,414.6373177
2060,35,0.010232618,0.05420751,0.206710454,19.28382002,1.906379582,0.211764239,0.694978213,3.282107997,0.009664981,55.21173166,218.4068747,174.0521731,424.3873953
2061,36,0.010202514,0.054319006,0.206358955,19.24878077,1.917949874,0.208189538,0.701243469,3.269355026,0.009057053,56.18540611,223.0314773,177.7034259,434.3471444
2062,37,0.010192497,0.054409519,0.206031623,19.22820706,1.929499142,0.204804209,0.707246657,3.257046345,0.008487365,57.18892704,227.7640538,181.4375112,444.5203331
2063,38,0.010238896,0.054485966,0.205720234,19.2233572,1.941036066,0.201614667,0.712984558,3.24517677,0.00795351,58.22494953,232.6079323,185.2511847,454.9107069
2064,39,0.010370834,0.054564479,0.205395338,19.23884433,1.952570081,0.198659473,0.718460001,3.233734242,0.007453234,59.3015826,237.5686048,189.1461624,465.5219964
2065,40,0.010603838,0.054673338,0.205000787,19.28200933,1.964113387,0.196000603,0.723689368,3.222681712,0.006984425,60.43198439,242.6532994,193.1305952,476.3578573
2066,41,0.011008516,0.054861509,0.204451617,19.36165886,1.975682593,0.193709481,0.72871218,3.211935337,0.006545105,61.63300049,247.8700056,197.2050477,487.4218119
2067,42,0.011735922,0.05522603,0.203566639,19.49331881,1.987299588,0.191914754,0.733607413,3.201342117,0.006133418,62.93425695,253.2305819,201.3672818,498.7172044
2068,43,0.012931807,0.055898648,0.20205973,19.70692419,1.99899558,0.19086741,0.738532116,3.190599961,0.005747626,64.3925047,258.7545904,205.6354334,510.2470722
2069,44,0.015086938,0.057147257,0.199348235,20.04593524,2.010819734,0.190922061,0.743746189,3.179174572,0.0053861,66.09227033,264.4660073,209.9950078,522.0139001
2070,45,-0.006752556,0.06153006,0.204150106,20.59953349,2.022847295,0.192810632,0.749720785,3.166052714,0.005047315,68.20294079,270.4055255,215.5443094,534.0194088
2071,46,0.016208258,0.05850655,0.193731946,17.91767173,2.035207015,0.173917401,0.759043597,3.157894311,0.01161225,66.5802767,275.0359111,218.6952982,546.2639878
2072,47,-0.005030774,0.061691008,0.201486561,18.59614229,2.045957618,0.177678108,0.76529666,3.141109548,0.010881839,69.11007023,281.3577794,224.5214066,558.7865263
2073,48,0.013171577,0.057575151,0.19461676,16.91168628,2.057115304,0.161456476,0.773877561,3.132095957,0.015443027,67.77637983,286.237145,227.9486686,571.5579183
2074,49,0.01177574,0.056981216,0.197268807,17.3583404,2.067262316,0.163403036,0.778492321,3.117611122,0.014471661,69.93961082,292.7083049,232.9255199,584.6209582
2075,50,0.010923496,0.056872569,0.19851404,17.67658256,2.07767732,0.164058908,0.782335669,3.106299881,0.013561394,71.85557463,299.2270999,238.0001265,597.9472767
2076,51,0.010502431,0.057110272,0.1988634,17.91792364,2.088283269,0.163943822,0.785864924,3.096741239,0.012708382,73.639231,305.835902,243.1603993,611.5424007
2077,52,0.010403853,0.057631328,0.198561499,18.12530023,2.099034023,0.16347011,0.789393982,3.088049206,0.011909025,75.38596486,312.5678589,248.4234598,625.41116
2078,53,0.010635447,0.058460559,0.197643193,18.33174094,2.109909204,0.162938463,0.793164935,3.07960491,0.011159947,77.17159878,319.4479694,253.7982319,639.5577844
2079,54,0.011316881,0.059730069,0.195903844,18.57142437,2.120908248,0.162639432,0.797426559,3.070856589,0.010457986,79.07741697,326.5017627,259.2977898,653.9859916
2080,55,-0.005187624,0.063185231,0.199111896,18.89095384,2.132051103,0.16294634,0.802524504,3.06110596,0.009800179,81.21727287,333.7610223,265.808247,668.6988652
2081,56,0.010442053,0.060159263,0.192828196,17.0922091,2.143385675,0.14749309,0.810256175,3.054722911,0.014576675,79.59043113,339.5831993,270.176736,683.6985654
2082,57,0.009618498,0.059898941,0.194235442,17.38114375,2.153641001,0.147928368,0.814983667,3.043236831,0.013659802,81.76701625,347.1393358,276.0417641,699.0309756
2083,58,0.009138586,0.059980308,0.194785051,17.58879212,2.164069687,0.147628111,0.819217736,3.033655545,0.012800601,83.78044874,354.7954489,282.0164026,714.6643442
2084,59,0.008897023,0.060314964,0.194757461,17.75251472,2.174622962,0.146927515,0.823277697,3.025116897,0.011995443,85.72429777,362.5854919,288.112788,730.6040162
2085,60,0.008887046,0.060887982,0.194257058,17.89903917,2.185274471,0.146056929,0.8273897,3.017055991,0.01124093,87.66741599,370.5335952,294.3328922,746.8547371
2086,61,0.009096547,0.061731979,0.193282505,18.05468743,2.196013894,0.145229226,0.831754095,3.009032736,0.010533875,89.67932437,378.6643674,300.6949183,763.4207959
2087,62,0.009669324,0.062992163,0.191620541,18.24453167,2.206846707,0.144633705,0.836587054,3.000631754,0.009871294,91.83045979,387.0010418,307.1998814,780.3059164
2088,63,-0.004698826,0.066211799,0.193934764,18.51011637,2.217793426,0.14457064,0.842214796,2.991275657,0.00925039,94.2377307,395.5793071,314.7387197,797.5131882
2089,64,0.008963975,0.063295366,0.188612125,16.76122888,2.228899496,0.13076025,0.850245959,2.98448572,0.013603968,92.53717564,402.5100335,320.0665139,815.0446084
2090,65,0.008260708,0.062972025,0.189933071,17.00965027,2.238956233,0.130899219,0.855348919,2.973453873,0.012748279,95.00060999,411.4426092,326.9950103,832.9544751
2091,66,0.007826077,0.062967129,0.190502906,17.1818994,2.249162023,0.130420967,0.859883406,2.964224483,0.011946412,97.28917526,420.497878,334.0564016,851.2037669
2092,67,0.007571091,0.063161754,0.190627429,17.31045628,2.259471163,0.129590892,0.864152942,2.956034549,0.011194983,99.49574359,429.7112009,341.2555287,869.7981353
2093,68,0.007464827,0.063538852,0.190385968,17.41771134,2.269857437,0.12858599,0.868342923,2.948434309,0.010490818,101.6846862,439.1076892,348.6075072,888.7425837
2094,69,0.007509052,0.064095865,0.189833018,17.52249298,2.280308063,0.127547364,0.872613707,2.941070178,0.009830946,103.9127056,448.7091282,356.1156864,908.0416292
2095,70,0.00774137,0.064902793,0.188892459,17.6439656,2.290821559,0.126609624,0.877114153,2.933657003,0.009212579,106.2392444,458.5389522,363.7919755,927.699303
2096,71,0.008243656,0.066081976,0.187405392,17.80612697,2.301407939,0.125931554,0.88204393,2.92586002,0.008633108,108.7421373,468.6257566,371.6474792,947.7190149
2097,72,-0.00328599,0.069043745,0.189092949,18.04343373,2.312091615,0.125731054,0.887694538,2.917225241,0.008090086,111.5356787,479.0073525,380.5826408,968.1033025
2098,73,0.0079831,0.066467435,0.184464016,16.47084557,2.322917675,0.11451977,0.895532162,2.910567821,0.01122224,110.1123509,487.6400183,387.2402324,988.8534268
2099,74,0.007622407,0.066407488,0.185300869,16.73545113,2.332800182,0.114761979,0.900737334,2.900266284,0.010516361,113.0942124,498.501605,395.6190426,1010.029561
2100,75,0.007558636,0.06683259,0.185263277,16.95843441,2.342841453,0.114679334,0.905592505,2.891301348,0.009854882,115.9916738,509.5555919,404.1773588,1031.58549
2101,76,0.007801717,0.067777374,0.184393754,17.17987192,2.353016514,0.114546361,0.910531092,2.882830825,0.00923501,118.9458846,520.8533804,412.9332852,1053.52546
2102,77,-0.002419165,0.070489072,0.186123497,17.44158331,2.363324437,0.114631088,0.915990903,2.874100191,0.008654128,122.109335,532.4455467,422.788638,1075.85238
2103,78,0.00738181,0.068023749,0.182099,16.07489343,2.373789387,0.104988328,0.923439738,2.867389638,0.010982527,120.9776862,542.2211986,430.3422668,1098.56763
2104,79,0.00702913,0.067969835,0.182935894,16.33966292,2.383434323,0.105269564,0.928368264,2.857565288,0.010291726,124.2555558,554.3171223,439.6619692,1121.734891
2105,80,0.006946609,0.068410462,0.182905185,16.56039219,2.393238121,0.105230886,0.932967371,2.849049117,0.009644377,127.437343,566.624625,449.1843173,1145.30433
2106,81,0.007138792,0.069352226,0.182100287,16.77582162,2.403174356,0.105123101,0.937677942,2.841006842,0.009037746,130.6729761,579.1993443,458.9199865,1169.279952
2107,82,-0.00221568,0.071972016,0.183481017,17.02575157,2.413239849,0.10518764,0.942920819,2.832735699,0.008469271,134.1207018,592.0961844,469.7756352,1193.664273
2108,83,0.006723496,0.069589381,0.17989329,15.7079498,2.4234553,0.096342699,0.950089578,2.826153269,0.010632402,133.031522,603.024789,478.2948869,1218.458109
2109,84,0.006387216,0.069527752,0.180707671,15.95825046,2.43288007,0.096562879,0.954821245,2.816830761,0.009963624,136.5915014,616.4746928,488.6527292,1243.73129
2110,85,0.006282849,0.06993037,0.180725204,16.16357843,2.44245502,0.096480281,0.9592279,2.808766868,0.009336912,140.0454298,630.1592412,499.2348929,1269.427598
2111,86,0.006412278,0.070796794,0.180039533,16.3594017,2.452153167,0.096312063,0.963724717,2.801192188,0.00874962,143.5431231,644.1359488,510.0535974,1295.550641
2112,87,0.006831977,0.072257348,0.178529438,16.58186261,2.461968808,0.096265895,0.968702378,2.793465147,0.008199269,147.2414219,658.461837,521.1323697,1322.102449
2113,88,-0.001326405,0.075580925,0.17887659,16.87566383,2.471917926,0.096583511,0.974638534,2.78487587,0.007683535,151.3407024,673.2017807,533.4721971,1349.083251
2114,89,-0.001337115,0.075497966,0.17672522,15.7048442,2.482043324,0.089175437,0.983053572,2.777094267,0.009140813,150.8772729,685.9743887,544.2603299,1376.490952
2115,90,0.006102547,0.072528899,0.174624018,14.63243627,2.49146623,0.082221982,0.990919267,2.767894041,0.010515339,150.4384834,698.856084,554.2792991,1404.396616
2116,91,0.005508251,0.071936095,0.176307799,14.91967075,2.500245692,0.082731475,0.995810697,2.757400647,0.009853924,154.6891512,714.5384728,566.2980211,1432.817539
2117,92,0.005119481,0.071794906,0.177104043,15.11439916,2.509197495,0.082701269,0.999913727,2.748994851,0.009234112,158.6028128,730.4036102,578.559038,1461.687349
2118,93,0.004870557,0.071928823,0.177368844,15.25045808,2.518266134,0.082334012,1.003659106,2.741777186,0.008653286,162.3372613,746.5196916,591.0676501,1491.011343
2119,94,0.004732442,0.072278819,0.177253127,15.35185353,2.527416409,0.081769636,1.007302878,2.735214043,0.008108995,166.0027545,762.934368,603.8354089,1520.793215
2120,95,0.004697173,0.072798466,0.176873958,15.43807267,2.536627521,0.081116887,1.011035994,2.728935474,0.007598939,169.690856,779.6877822,616.8641269,1551.035466
2121,96,0.004778178,0.07361005,0.176078206,15.5273903,2.545890365,0.080472017,1.014998527,2.722695435,0.007120966,173.4877576,796.8205018,630.2065545,1581.739466
2122,97,0.00501137,0.074690707,0.174981382,15.64049196,2.555206799,0.079937395,1.019426799,2.716129024,0.006673057,177.5033303,814.3762709,643.8237966,1612.905278
2123,98,-0.002157038,0.077080214,0.175133736,15.80437816,2.564591094,0.079639649,1.024523169,2.708993052,0.006253322,181.8744086,832.4148922,658.6077884,1644.531388
2124,99,0.004765006,0.075004135,0.172484566,14.46584347,2.574073721,0.072456758,1.03136173,2.702408902,0.008505121,180.6800143,847.8331257,671.0203198,1676.613981
2125,100,0.004479614,0.074868678,0.173225323,14.64621821,2.582753227,0.072387057,1.036038656,2.693902909,0.007970149,185.2749441,866.6642601,685.5184688,1709.248341
2126,101,0.004338344,0.07512875,0.173318983,14.77978659,2.591540958,0.072071856,1.040330164,2.686542877,0.007468826,189.7200712,885.8209136,700.3367611,1742.349085
2127,102,0.004330327,0.075687803,0.172977062,14.89395183,2.60040883,0.07165099,1.04459663,2.679696853,0.006999037,194.1692469,905.3670121,715.4664514,1775.917055
2128,103,0.004473575,0.07668792,0.17204326,15.0144104,2.609345201,0.071248193,1.049095232,2.672955144,0.006558798,198.7647668,925.3653789,730.9701709,1809.951181
2129,104,-0.001882763,0.078851606,0.172107839,15.17033315,2.618353847,0.070995466,1.054189244,2.665796058,0.006146249,203.6838496,945.8835092,747.61626,1844.448255
2130,105,0.004156591,0.076790239,0.169985031,13.91662915,2.627456047,0.064631748,1.060834378,2.659113781,0.008169222,202.7120652,963.5613251,761.8930958,1879.402496
2131,106,0.003849093,0.076577899,0.170769944,14.07166416,2.635806025,0.064494221,1.065339546,2.650974187,0.007655378,207.7687857,984.9380575,778.3564737,1914.917707
2132,107,0.003651494,0.076600151,0.171124668,14.17120397,2.644249023,0.06409387,1.069403076,2.64399723,0.007173855,212.6115472,1006.662141,795.1406818,1950.897345
2133,108,0.003541926,0.076884501,0.171049883,14.23799442,2.652751746,0.063541713,1.073250989,2.637738949,0.006722619,217.369522,1028.796542,812.3052272,1987.3409
