year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2025,0,-0.037416975,0.025040745,0.22271338,53.20178253,1.38,0.790835,0.15254,4.35,0,45.28787706,110.98,92.02480057,188.1813457,
2026,1,-0.018060862,0.025998948,0.217711003,41.30585828,1.41192107,0.703674501,0.163875327,4.287695794,0.037416989,42.62142196,112.4670705,93.8746245,192.9908003,
2027,2,-0.0121196,0.02650022,0.212026312,37.56295451,1.436704584,0.641352135,0.175441763,4.224656291,0.053128772,40.91690884,114.0544533,95.51994321,197.9015884,
2028,3,-0.010440297,0.026519915,0.207501974,34.78530473,1.459242357,0.588889869,0.186903877,4.160310583,0.061932934,39.45306073,115.6392182,97.0476573,202.9245033,
2029,4,0.01219424,0.025577248,0.197461831,32.32997512,1.48011354,0.541405943,0.19790461,4.095779537,0.068521164,38.01541902,117.1798809,98.14506484,208.0658594,
2030,5,0.014929716,0.02475384,0.195794562,31.41009899,1.499511525,0.519272979,0.207728048,4.026096993,0.064211183,37.8774223,119.0748696,99.5867084,213.3322511,
2031,6,0.017516959,0.02386277,0.19459004,30.70638593,1.518357584,0.501112254,0.216466011,3.959128299,0.060172299,37.8789498,121.0544581,101.078986,218.7228899,
2032,7,0.019764207,0.022974348,0.193841603,30.20157902,1.536781416,0.486497532,0.224082486,3.895125123,0.056387462,38.02413437,123.1268846,102.6406984,224.2405255,
2033,8,0.021941346,0.022154951,0.193136982,29.86825741,1.554902363,0.474858473,0.230606571,3.834316794,0.05284069,38.3022245,125.294154,104.2801701,229.8876293,
2034,9,0.024550086,0.021529446,0.191982482,29.69630921,1.572823318,0.465917611,0.236127887,3.776546817,0.049517011,38.71729866,127.5596821,105.9883932,235.6665042,
2035,10,0.028321365,0.021114818,0.189581591,29.70589156,1.590641103,0.459867999,0.240841898,3.721224988,0.046402391,39.30579501,129.933474,107.778493,241.5792645,29.96031221
2036,11,0.034191427,0.02108972,0.185021385,29.95959721,1.608464638,0.457519513,0.244956607,3.6670831,0.043483681,40.15026112,132.4323069,109.6469253,247.6276949,29.36282162
2037,12,-0.029366165,0.022997379,0.198420773,30.57150567,1.626440397,0.460377772,0.248822821,3.612109769,0.040748557,41.39473624,135.0758932,112.690594,253.8130637,28.89755597
2038,13,0.029528268,0.020274847,0.180616039,26.88080446,1.6447833,0.402053813,0.254043718,3.572429168,0.067551788,37.93958992,136.2104773,113.3474978,260.1359529,28.48398248
2039,14,0.025779382,0.019632739,0.185807502,27.36998096,1.660911783,0.40412427,0.25672111,3.519207768,0.06330278,39.04439606,138.9761186,115.5069023,266.6304584,28.04778839
2040,15,0.02354809,0.019262981,0.18846651,27.63802408,1.677333771,0.402839843,0.258704677,3.473846817,0.059321036,39.88688803,141.7201163,117.7059315,273.2721518,27.50347614
2041,16,0.022219994,0.019056267,0.189692167,27.77862676,1.693916586,0.399672965,0.260260826,3.433583495,0.055589742,40.57716582,144.4828026,119.949989,280.0651106,27.70436676
2042,17,0.021394729,0.018963787,0.190079565,27.84994446,1.710583762,0.395518434,0.261551389,3.396823503,0.052093148,41.18457207,147.2857727,122.2472295,287.0129273,27.81106452
2043,18,0.020849735,0.018947489,0.190003997,27.88525753,1.727293729,0.390878045,0.262688624,3.362606392,0.048816489,41.74975955,150.1405387,124.5978392,294.1189733,27.86632644
2044,19,0.020446956,0.018993622,0.189659291,27.90346976,1.744024883,0.386029751,0.263746333,3.330366275,0.045745932,42.29636939,153.0539087,127.0044503,301.3865364,27.89534377
2045,20,0.020128921,0.019093262,0.189083614,27.91433367,1.760766965,0.381112797,0.26478249,3.29974472,0.042868512,42.83716151,156.0297416,129.4745146,308.8188777,27.91221031
2046,21,0.019849028,0.019233409,0.188390774,27.92371344,1.777515565,0.376207009,0.265844133,3.270439427,0.040172083,43.38022504,159.070327,132.0044239,316.4192708,27.92447853
2047,22,0.019577189,0.019397149,0.187672895,27.93427714,1.794269793,0.371345819,0.266964439,3.242267477,0.037645259,43.92953461,162.1772848,134.5904448,324.1910238,27.9362601
2048,23,0.019329536,0.019611628,0.186780214,27.94659863,1.811030359,0.366533749,0.268160163,3.215138635,0.035277372,44.48610598,165.3518653,137.2468717,332.1374872,27.94959396
2049,24,0.019073892,0.019838235,0.185875773,27.96237761,1.827798319,0.361789481,0.26947024,3.188835822,0.033058425,45.05303101,168.5948497,139.9634116,340.2620589,27.96517315
2050,25,0.018807,0.020081384,0.184960009,27.98100298,1.844575745,0.357101793,0.270898319,3.163299208,0.030979051,45.62959749,171.9069478,142.7404782,348.5681951,27.98327443
2051,26,0.018548857,0.020352948,0.183917416,28.00160941,1.861364347,0.352457228,0.272451588,3.138472974,0.029030468,46.2148392,175.2887701,145.5897384,357.0594106,28.00383658
2052,27,0.018277125,0.020628426,0.182979185,28.02478354,1.878165313,0.34786102,0.274146905,3.114202709,0.027204452,46.80998986,178.7407493,148.4871472,365.7392835,28.02661927
2053,28,0.018017407,0.020929011,0.181910941,28.04940938,1.894980183,0.343298105,0.275979286,3.090547355,0.025493292,47.41349012,182.2643907,151.4593585,374.6114613,28.05141562
2054,29,0.017754012,0.021238535,0.180886151,28.07629106,1.911809828,0.338777232,0.277962039,3.067355511,0.023889764,48.02687381,185.860212,154.4874104,383.679637,28.0782573
