year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC
2025,0,-0.101807487,0.054965517,0.161143791,55.84988118,1.38,0.790835,0.15254,4.35,0,43.03394139,110.98,88.94601056,555.8352033
2026,1,-0.067060746,0.062058652,0.163427382,38.86731549,1.413509929,0.639283992,0.178104746,4.231559292,0.101807487,38.04893489,111.3041099,90.44334931,568.0394597
2027,2,-0.044729208,0.069358497,0.157780156,32.74525998,1.436830318,0.532012283,0.20733695,4.122509853,0.162464541,34.73613377,111.7965127,91.66172448,580.4709923
2028,3,-0.030044118,0.076410952,0.15515937,28.28930666,1.456477474,0.453819502,0.240452102,4.014945445,0.196974731,32.55847813,112.4555665,92.229174,593.1815835
2029,4,-0.020766571,0.083276378,0.149664963,24.95191694,1.473451058,0.395230111,0.277456718,3.911568543,0.214629261,31.19137052,113.3627321,92.9383297,606.1885354
2030,5,-0.014905374,0.089259574,0.149666095,22.35342957,1.488422208,0.349603222,0.31828634,3.809469343,0.221897628,30.39368471,114.5098042,93.28784635,619.4979856
2031,6,-0.011490768,0.094933188,0.146490921,20.2497695,1.501834266,0.312706198,0.36249393,3.713639748,0.222857095,29.99500566,115.894722,94.04918014,633.112793
2032,7,-0.009362716,0.099583419,0.146350822,18.46470286,1.513984128,0.281542441,0.409764288,3.620764142,0.22036196,29.86476571,117.456903,94.73627577,647.0333122
2033,8,-0.007952267,0.103092406,0.148795882,16.90209251,1.525062949,0.254464477,0.459372163,3.533453418,0.215923882,29.92212677,119.1751156,95.39194122,661.2625953
2034,9,-0.006954154,0.105195686,0.152832567,15.50583136,1.535204205,0.230497855,0.510434038,3.453729195,0.210385672,30.11389982,121.0357814,96.1240128,675.8042557
2035,10,-0.006192623,0.107416376,0.152556466,14.24169329,1.544507704,0.209034804,0.561843576,3.382559131,0.204228939,30.39932074,123.0266209,97.35309131,690.6622866
2036,11,-0.005562238,0.108498258,0.154402469,13.08828909,1.55305272,0.189681508,0.613383531,3.315472194,0.197728631,30.76883549,125.1190724,98.56015339,705.8412032
2037,12,-0.005030712,0.107826913,0.159990496,12.03209118,1.560905693,0.172174318,0.664108266,3.254140896,0.191037809,31.20160375,127.3145631,99.63676569,721.3474707
2038,13,-0.00456259,0.108711677,0.158800515,11.06222018,1.568124948,0.156298459,0.712655619,3.201579964,0.184267129,31.66797202,129.6228187,101.3361851,737.1873592
2039,14,-0.004132498,0.107299324,0.163130223,10.17064548,1.57476228,0.141888127,0.759957892,3.151124487,0.177485433,32.19228081,132.0143071,102.7580994,753.3663296
2040,15,-0.003746452,0.105973008,0.166501811,9.351434569,1.580864667,0.128813364,0.80430615,3.107603909,0.17073273,32.73840785,134.50942,104.3490991,769.8921168
2041,16,-0.003395913,0.104406103,0.169468685,8.598425495,1.586475528,0.116946373,0.845725611,3.069716461,0.164051386,33.30779232,137.105105,106.0865282,786.7709317
2042,17,-0.00308794,0.10329819,0.171071987,7.906297813,1.591634583,0.106175945,0.884046482,3.036744186,0.157472554,33.89654526,139.7990042,108.0022485,804.0092569
2043,18,-0.002792874,0.102012161,0.17260705,7.269377067,1.596378362,0.096390738,0.919668063,3.007167792,0.151031054,34.51204662,142.5863192,110.0206,821.6138231
2044,19,-0.002533925,0.100465051,0.174558863,6.684442625,1.600739988,0.087516199,0.952517629,2.980716595,0.144732372,35.15299124,145.4675675,112.0952947,839.5918305
2045,20,-0.002300322,0.100622558,0.173414089,6.146602629,1.604750654,0.079459079,0.982472954,2.957565743,0.138601828,35.81297903,148.4448919,114.4174222,857.9505615
2046,21,-0.002058336,0.100693439,0.172479094,5.651962797,1.608438615,0.072142772,1.010992439,2.934780974,0.132653031,36.52575203,151.5091751,116.7981567,876.697259
2047,22,-0.001830518,0.095762295,0.180256984,5.199462638,1.611829793,0.065529543,1.038065527,2.91252563,0.126869203,37.29391539,154.6638533,118.7772854,895.8400425
2048,23,-0.001626931,0.096998007,0.177451449,4.786301678,1.614949471,0.059561261,1.059699359,2.8984286,0.121254146,38.01181412,157.9416697,121.4261741,915.3869445
2049,24,-0.001430833,0.096855428,0.177061458,4.408954493,1.617821252,0.054173211,1.081163708,2.882704721,0.115819646,38.81199743,161.3067354,124.0122776,935.3435374
2050,25,-0.001240863,0.09328184,0.182312953,4.065402049,1.620466624,0.049321651,1.101337201,2.867568586,0.110562246,39.66523461,164.769358,126.3742833,955.7183793
2051,26,-0.001065853,0.094138808,0.180414198,3.753825303,1.622905865,0.044966936,1.117444079,2.857920465,0.10547746,40.49295962,168.3520956,129.2094403,976.5194099
2052,27,-0.000906602,0.090480182,0.18594814,3.471723648,1.625158161,0.041062892,1.133364954,2.847182317,0.100568242,41.39940734,172.0307307,131.7052457,997.7529318
2053,28,-0.000772891,0.092725223,0.182083677,3.216607462,1.627241195,0.037565363,1.145333155,2.841898504,0.095837714,42.27257527,175.8348563,134.8092279,1019.427341
2054,29,-0.000645355,0.091149981,0.184099729,2.985202264,1.629171159,0.034422977,1.158509966,2.833560456,0.091296391,43.25797903,179.7299517,137.6819674,1041.548842
2055,30,-0.000527676,0.090381817,0.184896039,2.776043787,1.630962281,0.031607207,1.169618114,2.827468058,0.086938154,44.25732618,183.738455,140.706643,1064.126585
2056,31,-0.000416497,0.090480164,0.184837798,2.587390284,1.632627907,0.029087533,1.179446729,2.822425487,0.082760104,45.29095648,187.8575004,143.8170444,1087.168149
2057,32,-0.000317826,0.086842582,0.190259068,2.417862753,1.634180341,0.026838716,1.188798592,2.817627881,0.078756715,46.382491,192.0890335,146.7344248,1110.681546
2058,33,-0.000234762,0.089784658,0.185507056,2.265576181,1.635631059,0.024830983,1.19452183,2.817810997,0.074927432,47.42381981,196.4540266,150.342881,1134.674846
2059,34,-0.000147804,0.088506349,0.18733011,2.128412298,1.636990404,0.023033298,1.202422519,2.813865116,0.071273977,48.60376985,200.9114494,153.6345364,1159.154629
2060,35,-6.33E-05,0.086504836,0.190365822,2.00614867,1.638267452,0.021436241,1.208781832,2.811731805,0.067782622,49.79866261,205.4918052,156.9355005,1184.130997
2061,36,1.13E-05,0.085458057,0.192464264,1.897976844,1.639471141,0.020024495,1.21306369,2.812351147,0.064445468,50.98540602,210.2035317,160.3313311,1209.611867
2062,37,7.55E-05,0.085144705,0.192932753,1.802409899,1.640609927,0.018776272,1.216199681,2.814747162,0.06126076,52.19159288,215.0483674,163.9883041,1235.604685
2063,38,0.000132874,0.084574887,0.193593105,1.717953206,1.641691373,0.01767064,1.218884545,2.817408023,0.058227157,53.43889612,220.0158398,167.7520936,1262.116959
2064,39,0.000195615,0.087967371,0.188721433,1.64350004,1.642722145,0.016691517,1.220923187,2.820483763,0.055340634,54.71737061,225.1066457,171.9092889,1289.157266
2065,40,0.000240368,0.085291224,0.192421149,1.579193579,1.643708245,0.01583604,1.22575645,2.819169225,0.052588014,56.16638934,230.3032383,175.672018,1316.734378
2066,41,0.000284816,0.084903685,0.193254438,1.522856414,1.644655761,0.015078402,1.228012815,2.821131009,0.049974669,57.56791934,235.6398012,179.6523301,1344.858773
2067,42,0.000300425,0.087051217,0.19095383,1.47414661,1.645569475,0.014411931,1.229804331,2.8236979,0.04749218,59.00434102,241.1112705,183.8554613,1373.538443
2068,43,0.000270411,0.083840533,0.19580973,1.429853265,1.646453963,0.013802512,1.233338969,2.824127795,0.045154093,60.56398043,246.7085108,187.7802999,1402.782033
2069,44,0.000287968,0.085038284,0.195060775,1.385115559,1.647311875,0.013201941,1.233903127,2.8287235,0.04298567,62.02905587,252.4563533,192.0643421,1432.599203
2070,45,0.00028528,0.083386553,0.196965885,1.344823853,1.648142944,0.012656171,1.235468226,2.832406728,0.040940416,63.58657504,258.3450882,196.4946676,1462.997889
2071,46,0.000379109,0.083068981,0.198823583,1.306672862,1.648949839,0.012141964,1.235515745,2.837517199,0.039025832,65.11559525,264.3715086,200.747882,1493.987115
2072,47,0.000296895,0.086848243,0.19302141,1.280753076,1.649733842,0.01175094,1.235285705,2.843929469,0.037161274,66.69943685,270.5712342,205.9263988,1525.576464
2073,48,0.000516602,0.082831877,0.199781325,1.247863469,1.650502294,0.01130471,1.238328507,2.844967086,0.035475657,68.46359644,276.8683885,210.1007805,1557.772913
2074,49,0.000472052,0.085738984,0.195147784,1.240603798,1.651251012,0.011097128,1.237728891,2.851770793,0.033732142,70.15661663,283.3811802,215.4796307,1590.589844
2075,50,0.000319433,0.084936096,0.19755456,1.229621711,1.651995375,0.010860109,1.239675484,2.854188155,0.032131311,72.0108113,290.0045299,220.1289448,1624.031428
2076,51,0.000423723,0.079573678,0.205522427,1.203057625,1.652733148,0.010491419,1.240816614,2.858540408,0.030745137,73.82250777,296.7871766,224.6511933,1658.110431
2077,52,9.38E-05,0.085503228,0.197072407,1.189917515,1.653454982,0.010245892,1.23723986,2.869484058,0.029368134,75.4532749,303.7801749,230.574667,1692.836073
2078,53,0.000316607,0.095967389,0.184318323,1.140303974,1.654168933,0.009694797,1.23901174,2.872531243,0.028326628,77.31554691,310.8429454,236.5505503,1728.21382
2079,54,0.000363952,0.087559406,0.194832742,1.119291964,1.654853115,0.009396078,1.249612157,2.864340414,0.027181891,79.82301567,318.0516101,241.478939,1764.260817
